"UnitInitials","PageTitleDisplay","Score"
LASIG,System,0.704286
LASIG,Database,0.315144
PERL,Forest,2.98901
PERL,Habitat,1.74178
PERL,Tree,0.96358
PERL,Species,1.34443
PERL,Forest ecology,1.17837
PERL,Sustainable forest management,0.937683
PERL,Biodiversity,2.23295
PERL,Biodiversity hotspot,0.606781
PERL,Deforestation,0.523695
LBE,Biofilm,0.478072
LASIG,Geographic information system,0.699113
LASIG,Solar irradiance,0.793723
LASIG,Data,1.67861
LASIG,Information,1.36643
LASIG,Vegetation,0.909837
LASIG,Information system,0.807376
LASIG,Statistics,0.833438
LASIG,ArcGIS,0.423443
LASIG,Case study,1.15272
LASIG,Spatial analysis,0.915
LASIG,Information technology,0.351357
LASIG,Environment,0.575314
LASIG,Lidar,2.38088
LASIG,Institut national de l'information géographique et forestière,0.353728
LASIG,Natural environment,0.427468
LASIG,Terrain,1.10194
LASIG,Study,0.555876
LASIG,Urban area,0.639779
LASIG,Digital elevation model,1.14887
LASIG,System,1.33965
GR-CEL,Volatile organic compound,1.05889
GR-CEL,Air pollution,0.947934
GR-CEL,Organic matter,1.44535
GR-CEL,Organochlorine chemistry,0.898963
GR-CEL,Aromatic compound,0.661019
GR-CEL,Soil organic matter,0.633174
GR-CEL,Persistent organic pollutant,3.968
GR-CEL,Advanced oxidation process,1.01273
GR-CEL,Heavy water,0.345846
GR-CEL,Land degradation,0.615021
GR-CEL,Industrial wastewater treatment,1.53794
GR-CEL,Sewage treatment,3.58068
GR-CEL,Toxicity,1.0661
GR-CEL,Aquatic ecosystem,1.79545
GR-CEL,Drinking water,1.57471
GR-CEL,Sewage,0.412371
GR-CEL,Corrosion inhibitor,0.737191
GR-CEL,Water purification,0.724757
GR-CEL,Wastewater,1.08434
GR-CEL,Organic compound,1.96492
GR-CEL,Effluent,1.10901
GR-CEL,Pollutant,1.30806
GR-CEL,Pollution,0.67993
GR-CEL,Water pollution,0.526354
GR-CEL,Aquatic animal,0.839784
GR-CEL,Water,1.29336
GR-CEL,Contamination,1.07746
GR-CEL,Stomach,0.51974
GR-CEL,Surface runoff,1.34422
GR-CEL,Heavy metals,0.604716
GR-CEL,Process,0.811032
GR-CEL,Pesticide,1.17448
GR-CEL,Polymer degradation,0.851886
GR-CEL,Secondary treatment,0.954378
GR-CEL,Wastewater treatment,1.51117
GR-CEL,Solubility,0.566952
GR-CEL,Sediment,2.75189
GR-CEL,Gastric acid,0.406791
GR-CEL,Polycyclic aromatic hydrocarbon,1.41307
GR-CEL,Democratic Republic of the Congo,0.950699
GR-CEL,Tandem mass spectrometry,0.634905
GR-CEL,Environmental degradation,0.488898
PERL,Organic matter,1.86515
PERL,Soil organic matter,1.63398
PERL,Soil carbon,0.816491
PERL,Stream restoration,0.580399
PERL,Restoration ecology,0.446832
PERL,Ecosystem service,0.772
PERL,Total organic carbon,0.502281
PERL,Earthworm,1.9078
PERL,Nitrogen,0.580866
PERL,Vegetation,1.04428
PERL,Plant litter,0.53117
PERL,Soil functions,0.505544
PERL,Soil structure,1.06217
PERL,Riparian zone,2.29513
PERL,Soil,5.74902
PERL,Nitrogen cycle,0.646251
PERL,Ecosystem engineer,1.44364
PERL,Ecosystem,3.05146
ECOL,Upwelling,3.81882
ECOL,Particle image velocimetry,0.816937
ECOL,Bulk modulus,0.458258
ECOL,Fluid dynamics,2.66522
ECOL,Surface water,1.16504
ECOL,Satellite imagery,3.52472
ECOL,Image resolution,1.05862
ECOL,Acoustics,0.78538
ECOL,Great Lakes,6.37726
ECOL,Climate change denial,0.488041
ECOL,Ocean heat content,0.817774
ECOL,Human rights,0.3063
ECOL,Differential equation,0.412366
ECOL,Alkalinity,0.396204
ECOL,Heavy water,0.851417
ECOL,Numerical weather prediction,1.72336
ECOL,Heat exchanger,1.82694
ECOL,Wind,1.61782
ECOL,Wind stress,0.718085
ECOL,Turbulence,7.12587
ECOL,Dissipation,1.31593
ECOL,Latent heat,1.81251
ECOL,Wind speed,2.62608
ECOL,River delta,1.19448
ECOL,Gravel,1.35347
ECOL,Lake Geneva,6.70642
ECOL,Turbidity current,1.06859
ECOL,Heat transfer,0.542049
ECOL,Transport,1.68545
ECOL,Lake,12.7168
ECOL,Measurement,4.5392
ECOL,Drainage basin,1.04541
ECOL,Meteorology,4.94588
ECOL,Momentum,1.23285
ECOL,Velocity,0.789067
ECOL,Temperature,2.53673
ECOL,River mouth,1.68612
ECOL,Open-channel flow,2.72232
ECOL,Boundary layer,3.24885
ECOL,Observation,0.899475
ECOL,Remote sensing,1.67812
ECOL,Reynolds number,0.550308
ECOL,Season,0.706393
ECOL,Rail transport,0.380091
ECOL,Scientific method,0.774501
ECOL,Angular momentum,0.416423
ECOL,Acoustic Doppler current profiler,1.76971
ECOL,Balloon,1.41312
ECOL,Time,0.950682
ECOL,Three-dimensional space,0.542697
ECOL,Water quality,1.0156
ECOL,Particle,1.3436
ECOL,Atmospheric temperature,0.831375
ECOL,Thermography,1.19506
ECOL,Water,4.12653
ECOL,Western Europe,3.60947
ECOL,Winter,2.13387
ECOL,Thermal,1.09826
ECOL,Eastern Europe,0.384469
ECOL,Deep sea,0.589108
ECOL,Computer simulation,2.02766
ECOL,Ocean current,3.05515
ECOL,Gas exchange,0.900452
ECOL,Thermohaline circulation,0.362182
ECOL,Bay,1.20791
ECOL,Time series,0.919462
ECOL,Value (ethics and social sciences),0.56984
ECOL,Atmospheric circulation,1.59595
ECOL,Simulation,0.781871
ECOL,Surface runoff,0.498126
ECOL,Satellite temperature measurements,0.867858
ECOL,Sedimentary rock,1.87181
ECOL,Eddy current,0.522247
ECOL,Mixed layer,0.632076
ECOL,Noise reduction,0.998906
ECOL,Shore,1.18661
ECOL,Navier–Stokes equations,0.408606
ECOL,Climate change,0.975913
ECOL,Pelagic zone,1.15326
ECOL,Numerical modeling (geology),0.402606
ECOL,Remote sensing (geology),0.378026
ECOL,Field research,1.55701
ECOL,Experiment,2.35275
ECOL,Sediment,5.7113
ECOL,Electric current,1.67457
ECOL,Trade winds,0.788613
ECOL,Pattern,0.836948
ECOL,Color temperature,0.933805
ECOL,Cooling tower,0.486026
ECOL,Coriolis force,1.10685
ECOL,Sediment transport,5.1572
ECOL,Dynamics,0.698768
ECOL,Shallow water equations,0.414875
ECOL,Body of water,0.56711
ECOL,Antikythera mechanism,0.357086
ECOL,Sea surface temperature,6.20738
ECOL,Internal wave,0.616702
ECOL,Evolution,0.773515
ECOL,Europe,0.806795
ECOL,Planetary boundary layer,0.970892
ECOL,Structure,1.41643
ECOL,Earth's energy budget,0.745844
DISAL,Game controller,1.97081
DISAL,Swarm robotics,10.3352
DISAL,Information exchange,0.341911
DISAL,Wireless sensor network,3.662
DISAL,Fluid dynamics,0.449858
DISAL,Markov decision process,0.842177
DISAL,Artificial intelligence,1.76784
DISAL,Stochastic gradient descent,0.426679
DISAL,Innovation,0.706459
DISAL,Global Positioning System,7.23422
DISAL,Geographic information system,0.478159
DISAL,Graph theory,2.05579
DISAL,Android (operating system),0.774737
DISAL,Internationalization and localization,0.645658
DISAL,Graphic design,0.5202
DISAL,Indoor positioning system,2.88411
DISAL,Particle filter,1.19165
DISAL,Robot navigation,1.35043
DISAL,Parallel computing,0.340699
DISAL,Sensor fusion,0.734834
DISAL,Vehicle simulation game,0.694674
DISAL,Problem solving,1.9737
DISAL,System dynamics,0.584043
DISAL,Robotics simulator,0.82272
DISAL,Artificial immune system,1.24145
DISAL,Future,0.812888
DISAL,Ultra-wideband,0.747928
DISAL,Recurrent neural network,0.899388
DISAL,Human impact on the environment,2.10718
DISAL,Neural network,1.20475
DISAL,Automation,1.51259
DISAL,Self-assembled monolayer,0.735352
DISAL,Collision avoidance system,2.20184
DISAL,Kalman filter,2.78546
DISAL,Learning,6.30311
DISAL,Large numbers,1.00944
DISAL,Search engine optimization,0.473354
DISAL,Autonomous underwater vehicle,2.69252
DISAL,Microfluidics,0.783446
DISAL,High-level programming language,0.506595
DISAL,Data,6.03657
DISAL,Information,1.90713
DISAL,Measurement,1.26543
DISAL,Evolutionary algorithm,3.37418
DISAL,Theoretical physics,0.422779
DISAL,Microelectromechanical systems,0.669987
DISAL,Social relation,0.9237
DISAL,Robot Operating System,2.7608
DISAL,Online machine learning,0.564041
DISAL,Trajectory,0.595275
DISAL,Mathematical model,1.60132
DISAL,Technological convergence,0.65326
DISAL,Collective intelligence,0.517546
DISAL,Robotics,29.02
DISAL,Supervised learning,0.36469
DISAL,Trajectory optimization,1.05943
DISAL,Visual perception,0.511779
DISAL,Artificial neural network,1.39116
DISAL,Risk assessment,0.416301
DISAL,Freshwater environmental quality parameters,1.16137
DISAL,Operating system,1.17646
DISAL,Environmental monitoring,5.76053
DISAL,Remote sensing,0.846557
DISAL,Experimental data,0.901834
DISAL,Machine learning,4.16735
DISAL,Unsupervised learning,1.33025
DISAL,Military robot,0.628742
DISAL,Sense,0.471095
DISAL,Random walk,1.01921
DISAL,Sensor,2.89275
DISAL,Finding Nemo,0.680969
DISAL,Inertial navigation system,0.861358
DISAL,Prediction,1.86955
DISAL,Simulated reality,0.732854
DISAL,Algorithmic trading,0.517141
DISAL,Parameter,1.0084
DISAL,Perception,1.11165
DISAL,.NET Framework,0.929553
DISAL,Robotic vacuum cleaner,0.540295
DISAL,Research,1.75476
DISAL,Regular expression,0.914797
DISAL,Real-time computing,0.795307
DISAL,Robot,42.6634
DISAL,Evolutionary computation,2.01743
DISAL,Scientific method,3.50288
DISAL,Intelligent agent,0.723414
DISAL,Robustness (computer science),0.390491
DISAL,Embodied agent,1.38751
DISAL,Signal,0.550295
DISAL,Electric vehicle,1.50914
DISAL,Serial Experiments Lain,1.14084
DISAL,Statistical mechanics,0.560455
DISAL,Self-organization,3.73048
DISAL,Stochastic,1.781
DISAL,Institution,0.698368
DISAL,Abstraction,0.765416
DISAL,Technology,1.4143
DISAL,Time,3.99808
DISAL,Collaboration,1.08627
DISAL,Case study,0.98587
DISAL,Partially observable Markov decision process,0.972942
DISAL,"3D modeling",1.20402
DISAL,Human–robot interaction,1.07704
DISAL,Uncertainty principle,0.892359
DISAL,Spatial analysis,0.810997
DISAL,Vehicle,1.7662
DISAL,Deep learning,1.98773
DISAL,Graph drawing,0.695748
DISAL,Virtual reality,0.413797
DISAL,Robot learning,1.54109
DISAL,Embodied cognition,1.21534
DISAL,Particle swarm optimization,7.88808
DISAL,Self-assembly,2.42868
DISAL,Bio-inspired robotics,0.626067
DISAL,Information technology,0.833469
DISAL,Environment,2.90949
DISAL,Supercomputer,0.597806
DISAL,Society,1.86195
DISAL,Computer simulation,0.485847
DISAL,Mobile robot,9.5162
DISAL,Motion capture,0.930244
DISAL,Genetic algorithm,5.93524
DISAL,Time complexity,2.7351
DISAL,Implementation,1.40319
DISAL,Predictive analytics,0.502969
DISAL,Cross-validation (statistics),0.352851
DISAL,Xbox Wireless Controller,0.349509
DISAL,Accuracy and precision,0.799937
DISAL,Combinatorial optimization,0.556055
DISAL,Reason,0.596314
DISAL,Speech synthesis,1.33369
DISAL,Simulation,10.254
DISAL,Graphical model,1.987
DISAL,User interface,0.387595
DISAL,Pareto efficiency,0.372728
DISAL,Application software,0.629984
DISAL,Motion planning,0.953336
DISAL,Human overpopulation,0.553994
DISAL,Urban planning,0.625459
DISAL,Globalization,0.994127
DISAL,Unmanned underwater vehicle,2.96788
DISAL,Stochastic process,1.29446
DISAL,Autonomous robot,2.53864
DISAL,Thought experiment,1.45211
DISAL,Inkjet printing,0.526582
DISAL,Cooperation,0.996577
DISAL,Communication,8.82678
DISAL,Mathematical optimization,5.98087
DISAL,Swarm robotic platforms,2.52856
DISAL,Concrete,0.529657
DISAL,Hyperparameter optimization,0.635974
DISAL,Crossover (genetic algorithm),0.662587
DISAL,Natural environment,1.97781
DISAL,Modularity,1.54988
DISAL,Unmanned aerial vehicle,3.40675
DISAL,Social media,0.548141
DISAL,Experiment,7.35251
DISAL,Three Laws of Robotics,2.76268
DISAL,Abductive reasoning,0.648488
DISAL,Abstraction (computer science),0.633058
DISAL,Human settlement,0.61047
DISAL,Limited-memory BFGS,0.487207
DISAL,Methodology,1.02293
DISAL,Evaluation,1.69988
DISAL,Collective behavior,0.633296
DISAL,Hard problem of consciousness,0.902028
DISAL,Environmental science,1.14183
DISAL,Computer vision,0.641365
DISAL,Reinforcement learning,1.51681
DISAL,Human,3.07035
DISAL,Noise-induced hearing loss,0.495563
DISAL,Real Robots,6.68543
DISAL,Code coverage,0.459832
DISAL,Control theory,2.75024
DISAL,Self-organized criticality,1.04639
DISAL,Complexity,2.07828
DISAL,Obstacle avoidance,2.76844
DISAL,Computational complexity theory,0.58527
DISAL,Swarm intelligence,2.27624
DISAL,Simultaneous localization and mapping,3.7771
DISAL,Self-reconfiguring modular robot,1.09199
DISAL,Real-time strategy,0.666737
DISAL,Metaheuristic,1.36599
DISAL,Algorithm,16.8594
DISAL,System,10.9539
DISAL,Data structure,1.00612
DISAL,Design,2.58517
DISAL,Cooperative,0.373009
DISAL,Computer performance,0.648358
DISAL,Receiver operating characteristic,0.798154
DISAL,Intelligent transportation system,0.731624
DISAL,Structure,1.00453
DISAL,Multi-task learning,0.915821
DISAL,Multi-agent system,13.028
DISAL,Adaptation,1.23814
DISAL,Energy,0.65105
DISAL,Fluidics,0.568114
DISAL,Driving simulator,1.32932
DISAL,Simulation hypothesis,3.26418
GR-LUD,Amorphous carbon,0.870157
GR-LUD,Evaporation,1.60979
GR-LUD,Heterogeneous catalysis,1.83106
GR-LUD,Boiling water reactor,0.340071
GR-LUD,Ice,1.12084
GR-LUD,Vapor pressure,0.5103
GR-LUD,Soot,0.623108
GR-LUD,Crystal,0.598723
GR-LUD,Chemical reaction,1.06758
GR-LUD,Atmospheric chemistry,1.14919
GR-LUD,Substrate (chemistry),0.548619
LTE,Tissue (biology),0.43764
LTE,Cancer,1.59639
LTE,Frequency,0.786595
LTE,IMAGE (spacecraft),0.405516
LTE,Köhler illumination,0.438289
LTE,Fluorescence,4.68004
LTE,Fluorescence microscope,2.39599
LTE,Organ (biology),0.426805
LTE,Fluorescence-lifetime imaging microscopy,2.06837
LTE,Spectral density,0.823541
LTE,Two-photon excitation microscopy,0.925551
LTE,Imaging,0.506996
LTE,Gastrointestinal cancer,0.39547
LTE,Medical imaging,0.319185
LTE,Pixel,0.575314
LTE,Nonimaging optics,0.583584
LTE,Radio frequency,0.303068
LTE,Fluorescence spectroscopy,2.34344
LTE,Fluorophore,0.413076
LTE,Image intensifier,0.89075
LTE,Laser-induced fluorescence,0.6815
LTE,Air pollution,1.16272
LTE,Large eddy simulation,0.691719
LTE,Turbulence,1.336
LTE,Thermal conductivity measurement,0.326735
LTE,Radiosonde,1.39695
LTE,Laser,0.734612
LTE,Lake,1.11083
LTE,Measurement,3.75512
LTE,Sea level rise,0.908934
LTE,Ground-level ozone,0.971695
LTE,India Meteorological Department,0.555605
LTE,Boundary layer,3.45757
LTE,Ozone,4.27297
LTE,Pollution,0.521919
LTE,Scientific method,0.420624
LTE,Time,1.53482
LTE,Vapor,0.617708
LTE,Water,0.604845
LTE,Computer simulation,1.37941
LTE,Time series,0.811032
LTE,Troposphere,0.887938
LTE,Lidar,8.79675
LTE,Satellite temperature measurements,0.554597
LTE,Grenoble,1.98188
LTE,Humidity,1.12169
LTE,Experiment,1.08416
LTE,Sea level,1.53647
LTE,Raman spectroscopy,1.82318
LTE,Water vapor,3.42598
LTE,Planetary boundary layer,4.2186
GR-LUD,Essential amino acid,0.650563
GR-LUD,Fluorescence,1.42984
GR-LUD,Fluorescence microscope,0.403735
GR-LUD,Confocal microscopy,0.766289
GR-LUD,Amino acid,1.31061
GR-LUD,G protein-coupled receptor,1.7993
GR-LUD,Ligand-gated ion channel,1.2023
GR-LUD,Labeling theory,0.570608
GR-LUD,O-6-methylguanine-DNA methyltransferase,0.663573
GR-LUD,Green fluorescent protein,3.03764
GR-LUD,Cellular differentiation,1.40755
GR-LUD,Ion channel,0.768724
GR-LUD,Integral membrane protein,0.605301
GR-LUD,Lipid bilayer,0.528678
GR-LUD,Gene expression,1.92085
GR-LUD,Membrane protein,1.40782
GR-LUD,Diagnosis,0.664414
GR-LUD,Ligand,0.65378
GR-LUD,Medical diagnosis,0.753474
GR-LUD,Molecular biology,2.21352
GR-LUD,Peptide mass fingerprinting,0.538689
GR-LUD,Metabolism,1.12047
GR-LUD,Ligand (biochemistry),1.26601
GR-LUD,Cell surface receptor,1.69952
GR-LUD,Protein,4.86192
GR-LUD,Fluorescence correlation spectroscopy,0.570483
GR-LUD,Scientific method,0.785687
GR-LUD,Stem cell,0.798192
GR-LUD,Stop codon,0.457441
GR-LUD,Signal transduction,1.08906
GR-LUD,Time,1.26787
GR-LUD,Cell membrane,5.2136
GR-LUD,Scanning electrochemical microscopy,1.26061
GR-LUD,Reporter gene,1.09877
GR-LUD,Neurotransmitter receptor,0.522003
GR-LUD,Live-cell imaging,1.96737
GR-LUD,Escherichia coli,1.35567
GR-LUD,Cell signaling,1.09766
GR-LUD,Ligand binding assay,0.75076
GR-LUD,Membrane vesicle trafficking,0.439649
GR-LUD,Invention,0.85962
GR-LUD,Biomarker,1.25401
GR-LUD,Small molecule,1.34508
GR-LUD,Binding site,1.3332
GR-LUD,Fluorophore,0.819655
GR-LUD,Regulation of gene expression,0.517835
GR-LUD,Estrogen receptor alpha,0.533287
GR-LUD,Receptor (biochemistry),3.5384
GR-LUD,Cell,1.33501
GR-LUD,Olfactory receptor neuron,0.752805
GR-LUD,Olfactory epithelium,0.912193
GR-LUD,Olfactory receptor,1.5354
GR-LUD,Melanoma,3.36358
GR-LUD,"5-HT receptor",0.425315
GR-LUD,"5-HT3 receptor",1.51453
GR-LUD,Synthetic biology,2.54084
GR-LUD,High-throughput screening,0.504355
GR-LUD,Bacteria,2.55286
GR-LUD,Fusion protein,2.09883
ECOL,Morphology (biology),0.655644
ECOL,Fluid dynamics,2.7286
ECOL,Surface water,0.718149
ECOL,Large eddy simulation,1.00975
ECOL,Particle-size distribution,0.787139
ECOL,Flume,0.958857
ECOL,Bending,1.33548
ECOL,Particle size,0.459117
ECOL,Numerical weather prediction,0.555473
ECOL,Turbulence,6.93164
ECOL,Laboratory,2.15079
ECOL,Turbidity current,1.06859
ECOL,Reynolds stress,0.501149
ECOL,River,3.52678
ECOL,Measurement,0.898899
ECOL,Deformation (physics),0.366454
ECOL,Couette flow,0.419446
ECOL,Momentum,0.431207
ECOL,Velocity,1.25854
ECOL,Bridge scour,1.48181
ECOL,Open-channel flow,4.42166
ECOL,Boundary layer,0.756024
ECOL,Parameter,0.546931
ECOL,Research,1.11004
ECOL,Pressure gradient,0.569286
ECOL,Three-dimensional space,0.80102
ECOL,Computational fluid dynamics,0.797109
ECOL,Ecological succession,0.862908
ECOL,Meander,2.71758
ECOL,Computer simulation,0.912636
ECOL,Confluence,3.98863
ECOL,Froude number,1.30402
ECOL,River engineering,0.504249
ECOL,Simulation,1.13945
ECOL,Shear stress,1.31372
ECOL,Surface runoff,0.311517
ECOL,River morphology,1.16942
ECOL,Eddy current,0.563015
ECOL,Flood,0.807756
ECOL,Laboratory experiments of speciation,0.779035
ECOL,Soil erosion,0.651043
ECOL,Experiment,10.3465
ECOL,Sediment,3.37568
ECOL,Curvature,2.69359
ECOL,Moiré pattern,0.343576
ECOL,Electron configuration,0.774297
ECOL,Pattern,0.977952
ECOL,Tributary,2.59221
ECOL,Topography,1.0671
ECOL,Sediment transport,7.32859
ECOL,Erosion,1.13864
PERL,Geographic information system,1.20633
PERL,Organic matter,0.899607
PERL,Soil organic matter,0.684525
PERL,Human rights,0.3063
PERL,Restoration ecology,0.618614
PERL,Tree,1.09408
PERL,Landscape,1.85217
PERL,Scientific method,0.675512
PERL,Soil,1.44043
PERL,Ecosystem,1.22495
GR-CEL,Volatile organic compound,0.866872
GR-CEL,Air pollution,0.701916
GR-CEL,Organic matter,2.20649
GR-CEL,Aromatic compound,0.519948
GR-CEL,Soil organic matter,1.04263
GR-CEL,Surfactant,0.553002
GR-CEL,Persistent organic pollutant,1.73754
GR-CEL,Heavy water,0.467902
GR-CEL,Desorption,0.664777
GR-CEL,Aquatic plant,0.350927
GR-CEL,Anaerobic digestion,1.52126
GR-CEL,Industrial wastewater treatment,0.557503
GR-CEL,Sewage treatment,2.75761
GR-CEL,River delta,0.86228
GR-CEL,Toxicity,0.77613
GR-CEL,River,1.36611
GR-CEL,Antimicrobial resistance,0.822344
GR-CEL,Aquatic ecosystem,2.69124
GR-CEL,Drinking water,1.36475
GR-CEL,Adsorption,1.3938
GR-CEL,Organic compound,1.96492
GR-CEL,Organic chemistry,0.554588
GR-CEL,Water treatment,0.605152
GR-CEL,PH,0.95384
GR-CEL,Plastic,0.925328
GR-CEL,Water quality,1.23743
GR-CEL,Particle,1.36648
GR-CEL,Gut microbiota,0.85721
GR-CEL,Aquatic animal,1.5128
GR-CEL,Micelle,0.593953
GR-CEL,Body fluid,0.756907
GR-CEL,Water,2.57076
GR-CEL,Nitrous oxide,1.33932
GR-CEL,Contamination,0.760309
GR-CEL,Stomach,0.716203
GR-CEL,Surface runoff,0.56246
GR-CEL,Fish,2.0805
GR-CEL,Disinfectant,0.919302
GR-CEL,Sorption,1.25179
GR-CEL,Wastewater treatment,1.09048
GR-CEL,Solubility,1.20193
GR-CEL,Sediment,1.91158
GR-CEL,Gastric acid,1.12287
GR-CEL,Carcinogen,0.524919
GR-CEL,Polycyclic aromatic hydrocarbon,1.47595
GR-CEL,Gastrointestinal tract,0.833521
GR-CEL,Sediment transport,0.583569
GR-CEL,Bacteria,1.18587
GR-CEL,Rainbow trout,0.575314
GR-CEL,Chemical substance,1.35283
IIE-GE,Feedback,1.09697
IIE-GE,Global Positioning System,6.18335
IIE-GE,Indoor positioning system,0.999021
IIE-GE,Automotive navigation system,0.895314
IIE-GE,Texture mapping,0.591833
IIE-GE,The Challenge (TV series),0.322918
IIE-GE,Satellite navigation,4.1084
IIE-GE,Paper,1.10259
IIE-GE,Satellite navigation device,1.04787
IIE-GE,Learning,2.00214
IIE-GE,Transport,0.997123
IIE-GE,Information,1.40689
IIE-GE,Navigation,3.72822
IIE-GE,Machine learning,0.40948
IIE-GE,Inertial navigation system,1.16381
IIE-GE,Positioning,0.575314
IIE-GE,Electric vehicle,0.461694
IIE-GE,"3D modeling",0.417611
IIE-GE,Vehicle,1.05628
IIE-GE,Environment,0.545445
IIE-GE,Navigation system,0.506996
IIE-GE,Application software,1.27406
IIE-GE,Road transport,1.34834
IIE-GE,Environmental engineering,0.891524
IIE-GE,Geomatics,1.11663
IIE-GE,Civil engineering,0.374772
IIE-GE,Concept,0.988477
IIE-GE,System,2.25898
IIE-GE,Data model,0.674597
IIE-GE,Intelligent transportation system,2.02505
LBE,Reclaimed water,1.3061
LBE,Amino acid,0.851754
LBE,Industrial wastewater treatment,0.410824
LBE,Laboratory,0.615467
LBE,Microbiota,0.644939
LBE,Wastewater,1.65152
LBE,Relative species abundance,0.820879
LBE,Phosphorus,0.51213
LBE,Pseudomonadota,0.607447
LBE,Microbial consortium,0.91568
LBE,Water pollution,0.655191
LBE,Genus,0.379055
LBE,Carbon cycle,0.854693
LBE,Microbiological culture,0.613254
LBE,Carbon source,1.07971
LBE,Wastewater treatment,3.02624
LBE,Carbon sink,0.448405
LBE,Bacteria,0.856828
LBE,Volatile organic compound,1.36247
LBE,Reclaimed water,1.4577
LBE,Human evolution,0.499704
LBE,Family,0.866239
LBE,Microalgae,1.4798
LBE,Intimate relationship,0.467647
LBE,Microbial ecology,2.28496
LBE,Impact,0.506996
LBE,Development studies,0.888277
LBE,Cell culture,0.943018
LBE,Analysis,4.48559
LBE,DNA sequencing,4.28891
LBE,Drug metabolism,0.574251
LBE,Innovation,1.11541
LBE,Silicate mineral,3.69699
LBE,Amino acid,0.851754
LBE,Genome,3.97008
LBE,Organic matter,1.32663
LBE,Gel electrophoresis,0.754783
LBE,Aromatic compound,0.685805
LBE,Steady state,1.2312
LBE,Extracellular polymeric substance,0.562645
LBE,Quantitative proteomics,0.911331
LBE,Hydra (genus),0.344622
LBE,Human rights,0.4084
LBE,Persistent organic pollutant,2.99694
LBE,Activated sludge,1.03933
LBE,Algae fuel,1.25379
LBE,Heavy water,0.677391
LBE,Sulfate-reducing microorganism,2.08045
LBE,Land degradation,2.4017
LBE,Vitamin B12,1.24376
LBE,Iron,0.739125
LBE,Limiting factor,0.796342
LBE,Adverse effect,0.722583
LBE,Dense non-aqueous phase liquid,0.493401
LBE,Phylogenetic tree,1.46868
LBE,Regulation,1.34607
LBE,Anaerobic digestion,6.29254
LBE,Hydrogen sulfide,0.995627
LBE,ATP-binding cassette transporter,0.405965
LBE,Industrial wastewater treatment,2.06687
LBE,Integral membrane protein,1.56943
LBE,Habitat,1.09368
LBE,Sewage treatment,5.19634
LBE,Growth medium,0.488404
LBE,Anoxic event,0.877861
LBE,Cultural diversity,0.3268
LBE,Abiotic component,1.08913
LBE,Chaperone (protein),0.463153
LBE,Sewage sludge,0.952447
LBE,Molecular ecology,1.6408
LBE,Lichen,0.887733
LBE,Laboratory,2.70334
LBE,Operon,2.60204
LBE,Light,0.852779
LBE,Lipid,0.593529
LBE,Groundwater remediation,0.878678
LBE,Competition,1.37496
LBE,Microbial mat,0.607981
LBE,Sustainability,2.56691
LBE,Hydraulic conductivity,1.74477
LBE,Gamma ray,0.477266
LBE,Biofuel,1.89647
LBE,Computer cluster,0.382541
LBE,World population,0.537371
LBE,Manganese,0.871297
LBE,Mineral,5.24964
LBE,Culture,2.86159
LBE,Fungus,2.31261
LBE,Molecular biology,0.497302
