id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.projectLeader,dc.contributor.projectMember,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.collected,ethz.date.deposited,ethz.date.retentionend,ethz.date.retentionendDate,ethz.doipreview,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"470433","20.500.11850/3","Bernasconi, Alessio||Alassimone, Julien||McDonald, Bruce A.||Sánchez-Vallet, Andrea",,,,,,"2022-10-04T12:28:11Z","2022-05-22T04:16:31Z||2022-06-20T14:56:35Z||2022-10-04T12:28:11Z",,"2022-09","2022-04-19","Natural infections frequently involve several co-infecting pathogen strains. These mixed infections can affect the extent of the infection, the transmission success of the pathogen and the eventual epidemic outcome. To date, few studies have investigated how mixed infections affect transmission between hosts. Zymoseptoria tritici is a highly diverse wheat pathogen in which multiple strains often coexist in the same lesion. Here we demonstrate that the most competitive strains often exclude their competitors during serial passages of mixed infections. The outcome of the competition depended on both the host genotype and the genotypes of the competing pathogen strains. Differences in virulence among the strains were not associated with competitive advantages during transmission, while differences in reproductive potential had a strong effect on strain competitive ability. Overall, our findings suggest that host specialization is determined mainly by the ability to successfully transmit offspring to new hosts during mixed infections.","application/pdf","10.3929/ethz-b-000548440",,"1462-2912||1462-2920",,"10.1111/1462-2920.16018","http://hdl.handle.net/20.500.11850/548440","en","Wiley","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/",,"Asexual reproductive potential trumps virulence as a predictor of competitive ability in mixed infections",,"Journal Article","Open access",,,,,"2022-05-22T04:17:03Z",,,,"yes",,,,,,,,,,,,"85128845177",,"000794190000001","Environ. microbiol.","9","Environmental Microbiology","24","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"4381","4369","Hoboken, NJ","published",,,,,,,"2022-10-04T12:28:13Z","2023-02-07T06:55:47Z","true",,"WOS",,,"publishedVersion",
"470201","20.500.11850/3","Goncalves, Estefany||Herrera, Ileana||Alexander, Jake||Duarte, Milen||Cavieres, Lohengrin A.||Morales-Salinas, Luis||Bustamante, Ramiro O.",,,,,,"2022-10-03T09:33:22Z","2022-10-03T03:48:19Z||2022-10-03T09:33:22Z",,"2022-09","2022-09-08","Alien plant species are colonizing high-elevation areas along roadsides. In this study, we evaluated whether the distributions of alien plants in the central Chilean mountains have reached climatic equilibrium (i.e., upper distribution limits consistent with their climatic requirements). First, we evaluated whether the upper elevational limits of alien plants changed between 2008 and 2018 based on the Mountain Invasion Research Network (MIREN) database. Second, we compared the observed upper elevational limits with the upper limits predicted by each species' global climatic niche. On average across species, the upper elevation limit did not change between 2008 and 2018. However, most species maintained the same limit or shifted downward, while only 23% of the species shifted upwards. This lack of change does not mean that the species' distributions are in equilibrium with the climate, because the observed upper limit was lower than the limit predicted by the global niche model for 87% of species. Our results suggest that alien species in this study region may not only be climate-limited, but could also be limited by other local-scale factors, such as seed dispersal, intermittent disturbance rates, soil type and biotic interactions.","application/pdf","10.3929/ethz-b-000573861",,"2223-7747",,"10.3390/plants11182345","http://hdl.handle.net/20.500.11850/573861","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Andean mountains||biological invasions||climatic niche||elevation||elevational limit||roadsides","The Upper Range Limit of Alien Plants Is Not in Equilibrium with Climate in the Andes of Central Chile",,"Journal Article","Open access",,,,,"2022-10-03T03:48:22Z",,,,"yes",,,,,,,,,,,,"85138725602",,"000857037900001",,"18","Plants","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","09666","09666",,,"2345","Basel","published",,,,,,,"2022-10-03T09:33:23Z","2023-02-07T06:54:38Z","true","13 p.","WOS",,,"publishedVersion",
"463267","20.500.11850/3","Chin, Alana R. O.||Guzmán-Delgado, Paula||Sillett, Stephen C.||Kerhoulas, Lucy P.||Ambrose, Anthony R.||McElrone, Andrew R.||Zwieniecki, Maciej A.",,,,,,"2022-08-16T12:51:55Z","2022-07-10T03:17:35Z||2022-08-16T12:51:55Z",,"2022-09","2022-06-23","Tracheid buckling may protect leaves in the dynamic environments of forest canopies, where rapid intensifications of evaporative demand, such as those brought on by changes in light availability, can result in sudden increases in transpiration rate. While treetop leaves function in reliably direct light, leaves below the upper crown must tolerate rapid, thermally driven increases in evaporative demand. Using synchrotron-based X-ray microtomography, we visualized impacts of experimentally induced water stress and subsequent fogging on living cells in redwood leaves, adding ecological and functional context through crown-wide explorations of variation in leaf physiology and microclimate. Under drought, leaf transfusion tracheids buckle, releasing water that supplies sufficient temporal reserves for leaves to reduce stomatal conductance safely while stopping the further rise of tension. Tracheid buckling fraction decreases with height and is closely coordinated with transfusion tissue capacity and stomatal conductance to provide temporal reserves optimized for local variation in microclimate. Foliar water uptake fully restores collapsed and air-filled transfusion tracheids in leaves on excised shoots, suggesting that trees may use aerial water sources for recovery. In the intensely variable deep-crown environment, foliar water uptake can allow for repetitive cycles of tracheid buckling and unbuckling, protecting the tree from damaging levels of hydraulic tension and supporting leaf survival.","application/pdf","10.3929/ethz-b-000557116",,"0140-7791||1365-3040",,"10.1111/pce.14381","http://hdl.handle.net/20.500.11850/557116","en","WIley","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","embolism repair||foliar water uptake||microclimate||Sequoia||tracheid buckling||transfusion tissue","Tracheid buckling buys time, foliar water uptake pays it back: Coordination of leaf structure and function in tall redwood trees",,"Journal Article","Open access",,,,,"2022-07-10T03:17:56Z",,,,"yes",,,,,,,,,,,,"85133132956",,"000819281600001","Plant cell environ.","9","Plant, Cell & Environment","45","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","09716","09716",,"2616","2607","Hoboken, NJ","published",,,,,,,"2022-08-16T12:52:03Z","2023-02-07T05:20:36Z","true",,"WOS",,,"publishedVersion",
"457069","20.500.11850/5","Manrubia, Susanna||Cuesta, José A.||Aguirre, Jacobo||Ahnert, Sebastian E.||Altenberg, Lee||Cano, Alejandro V.||Catalán, Pablo||DIaz-Uriarte, Ramon||Elena, Santiago F.||Garcia-Martin, Juan Antonio||Hogeweg, Paulien||Khatri, Bhavin S.||Krug, Joachim||Louis, Ard A.||Martin, Nora S.||Payne, Joshua L.||Tarnowski, Matthew J.||Weiss, Marcel",,,,,,"2022-06-30T12:10:42Z","2022-06-23T02:56:03Z||2022-06-30T12:10:42Z",,"2022-09",,,,,,"1571-0645||1873-1457",,"10.1016/j.plrev.2022.05.007","http://hdl.handle.net/20.500.11850/554171","en","Elsevier",,,,"The long and winding road to understanding organismal construction Reply to comments on ""From genotypes to organisms: State-of-the-art and perspectives of a cornerstone in evolutionary dynamics"" comment",,"Other Journal Item","Metadata only",,,,,"2022-06-23T02:56:18Z",,,,"yes",,,,,,,,,,,,,,"000808455300005",,,"Physics of Life Reviews","42","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09613 - Payne, Joshua / Payne, Joshua","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09613 - Payne, Joshua / Payne, Joshua","09613","09613",,"24","19","Amsterdam","published",,,,,,,"2022-06-30T12:10:51Z","2023-02-07T03:54:54Z","true",,"WOS",,,,
"473699","20.500.11850/3","Prevéy, Janet S.||Elmendorf, Sarah C.||Bjorkman, Anne||Alatalo, Juha M.||Ashton, Isabel||Assmann, Jakob J.||Björk, Robert G.||Björkman, Mats P.||Cannone, Nicoletta||Carbognani, Michele||Chisholm, Chelsea||Clark, Karin||Collins, Courtney G.||Cooper, Elisabeth J.||Elberling, Bo||Frei, Esther R.||Henry, Gregory H.R.||Hollister, Robert D.||Høye, Toke Thomas||Jónsdóttir, Ingibjörg Svala||Kerby, Jeffrey T.||Rixen, Christian||Wipf, Sonja||et al.",,,,,,"2022-10-31T14:49:57Z","2021-11-04T10:21:12Z||2021-11-05T15:57:38Z||2021-11-05T15:58:35Z||2022-10-31T14:49:57Z",,"2022-09","2021-05-11","Observations of changes in phenology have provided some of the strongest signals of the effects of climate change on terrestrial ecosystems. The International Tundra Experiment (ITEX), initiated in the early 1990s, established a common protocol to measure plant phenology in tundra study areas across the globe. Today, this valuable collection of phenology measurements depicts the responses of plants at the colder extremes of our planet to experimental and ambient changes in temperature over the past decades. The database contains 150,434 phenology observations of 278 plant species taken at 28 study areas for periods of 1 to 26 years. Here we describe the full dataset to increase the visibility and use of these data in global analyses, and to invite phenology data contributions from underrepresented tundra locations. Portions of this tundra phenology database have been used in three recent syntheses, some datasets are expanded, others are from entirely new study areas, and the entirety of these data are now available at the Polar Data Catalogue.","application/pdf","10.3929/ethz-b-000513568",,"2368-7460",,"10.1139/AS-2020-0041","http://hdl.handle.net/20.500.11850/513568","en","Canadian Science Publishing","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Arctic||alpine||climate change||experimental warming||International Tundra Experiment (ITEX)||flowering||plant||vegetation change","The tundra phenology database: More than two decades of tundra phenology responses to climate change",,"Journal Article","Open access",,,,,"2021-11-04T10:21:18Z",,,,"yes",,,,,,,,,,,,"85131050650",,"000928440700014",,"3","Arctic Science","8","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","09666","09666",,"1039","1026","Ottowa","published",,,,,,"true","2022-10-31T14:49:59Z","2023-02-07T07:25:16Z","true",,"BATCH",,,"publishedVersion",
"471931","20.500.11850/3","Srivastava, Malvika||Payne, Joshua L.",,,,,,"2022-10-17T08:46:21Z","2022-10-16T02:58:48Z||2022-10-17T08:46:21Z",,"2022-09","2022-09-19","The mapping from genotype to phenotype to fitness typically involves multiple nonlinearities that can transform the effects of mutations. For example, mutations may contribute additively to a phenotype, but their effects on fitness may combine non-additively because selection favors a low or intermediate value of that phenotype. This can cause incongruence between the topographical properties of a fitness landscape and its underlying genotype-phenotype landscape. Yet, genotype-phenotype landscapes are often used as a proxy for fitness landscapes to study the dynamics and predictability of evolution. Here, we use theoretical models and empirical data on transcription factor-DNA interactions to systematically study the incongruence of genotype-phenotype and fitness landscapes when selection favors a low or intermediate phenotypic value. Using the theoretical models, we prove a number of fundamental results. For example, selection for low or intermediate phenotypic values does not change simple sign epistasis into reciprocal sign epistasis, implying that genotype-phenotype landscapes with only simple sign epistasis motifs will always give rise to single-peaked fitness landscapes under such selection. More broadly, we show that such selection tends to create fitness landscapes that are more rugged than the underlying genotype-phenotype landscape, but this increased ruggedness typically does not frustrate adaptive evolution because the local adaptive peaks in the fitness landscape tend to be nearly as tall as the global peak. Many of these results carry forward to the empirical genotype-phenotype landscapes, which may help to explain why low- and intermediate-affinity transcription factor-DNA interactions are so prevalent in eukaryotic gene regulation.","application/pdf","10.3929/ethz-b-000576094",,"1553-734X||1553-7358",,"10.1371/journal.pcbi.1010524","http://hdl.handle.net/20.500.11850/576094","en","PLOS","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Sign epistasis||Natural selection||Transcription factors||Fitness epistasis||Reciprocal sign epistasis||DNA transcription||Point mutation||Gene expression","On the incongruence of genotype-phenotype and fitness landscapes",,"Journal Article","Open access",,,,,"2022-10-16T02:58:48Z",,,,"yes",,,,"Regulatory logic and the evolution of promoter complexity||The deformability of empirical genotype-phenotype landscapes","170604||192541","10.13039/501100001711||10.13039/501100001711","SNF||SNF","SNF-Förderungsprofessuren Stufe 2||Projekte Lebenswissenschaften",,,,"85139379581",,"000933372800007","PLOS comput. biol.","9","PLoS Computational Biology","18","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09613 - Payne, Joshua / Payne, Joshua","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09613 - Payne, Joshua / Payne, Joshua","09613","09613",,,"e1010524","San Francisco, CA","published",,,,,,"true","2022-10-17T08:46:22Z","2023-02-07T07:09:06Z","true","31 p.","SCOPUS",,,"publishedVersion",
"478069","20.500.11850/3","MacDonald, Bruce A.||Suffert, Frederic||Bernasconi, Alessio||Mikaberidze, Alexey",,,,,,"2022-12-01T09:07:35Z","2022-07-23T03:01:24Z||2022-08-10T08:57:56Z||2022-11-30T13:07:16Z||2022-11-30T13:08:35Z||2022-12-01T09:07:35Z",,"2022-09","2022-06-20","Pathogen populations differ in the amount of genetic diversity they contain. Populations carrying higher genetic diversity are thought to have a greater evolutionary potential than populations carrying less diversity. We used published studies to estimate the range of values associated with two critical components of genetic diversity, the number of unique pathogen genotypes and the number of spores produced during an epidemic, for the septoria tritici blotch pathogen Zymoseptoria tritici. We found that wheat fields experiencing typical levels of infection are likely to carry between 3.1 and 14.0 million pathogen genotypes per hectare and produce at least 2.1-9.9 trillion pycnidiospores per hectare. Given the experimentally derived mutation rate of 3 x 10(-10) substitutions per site per cell division, we estimate that between 27 and 126 million pathogen spores carrying adaptive mutations to counteract fungicides and resistant cultivars will be produced per hectare during a growing season. This suggests that most of the adaptive mutations that have been observed in Z. tritici populations can emerge through local selection from standing genetic variation that already exists within each field. The consequences of these findings for disease management strategies are discussed.","application/pdf","10.3929/ethz-b-000559653",,"1752-4571||1752-4563",,"10.1111/eva.13434","http://hdl.handle.net/20.500.11850/559653","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","disease control||evolutionary potential||genetic diversity||population size","How large and diverse are field populations of fungal plant pathogens? The case of Zymoseptoria tritici",,"Journal Article","Open access",,,,,"2022-07-23T03:02:45Z",,,,"yes",,,,,,,,,,,,"85134070911",,"000825883000001","Evol. Appl.","9","Evolutionary Applications","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"1373","1360","Hoboken, NJ","published",,,,,,"true","2022-11-30T13:07:17Z","2023-02-07T08:10:36Z","true",,"WOS",,,"publishedVersion",
"470591","20.500.11850/5","Vicente, Rubén||Annunziata, Maria Grazia||Santelia, Diana",,,,,,"2022-10-05T12:18:16Z","2022-10-05T03:08:45Z||2022-10-05T12:18:16Z",,"2022-08-31",,,"application/pdf","10.3929/ethz-b-000574347",,"1664-462X",,"10.3389/fpls.2022.1011224","http://hdl.handle.net/20.500.11850/574347","en","Frontiers Media","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","carbohydrates||crop production||fluctuating environment||metabolic regulation||phenotyping||photosynthesis||plant carbon metabolism||source-to-sink dynamics","Editorial: Insights and regulation of plant carbon metabolism",,"Other Journal Item","Open access",,,,,"2022-10-05T03:08:46Z",,,,"yes",,,,"Rewiring starch metabolism for plant environmental adaptation","185241","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,,"85138250581",,"000858963400001","Front. Plant Sci.",,"Frontiers in Plant Science","13","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08715 - Gruppe Mol. Physiologie der Pflanzen / Plant Molecular Physiology Group","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08715 - Gruppe Mol. Physiologie der Pflanzen / Plant Molecular Physiology Group","03706||08715","03706||08715","Editorial",,"1011224","Lausanne","published",,,,,,,"2022-10-05T12:18:17Z","2023-02-07T06:57:16Z","true","3 p.","WOS",,,"publishedVersion",
"480832","20.500.11850/3","Gilarranz, Luis J.||Narwani, Anita||Odermatt, Daniel||Siber, Rosi||Dakos, Vasilis",,,,,,"2022-12-16T13:51:07Z","2022-12-15T15:15:16Z||2022-12-16T13:51:07Z",,"2022-08-30","2022-08-22","Lakes are often described as sentinels of global change. Phenomena like lake eutrophication, algal blooms, or reorganization in community composition belong to the most studied ecosystem regime shifts. However, although regime shifts have been well documented in several lakes, a global assessment of the prevalence of regime shifts is still missing, and, more in general, of the factors altering stability in lake status, is missing. Here, we provide a first global assessment of regime shifts and stability in the productivity of 1,015 lakes worldwide using trophic state index (TSI) time series derived from satellite imagery. We find that 12.8% of the lakes studied show regime shifts whose signatures are compatible with tipping points, while the number of detected regime shifts from low to high TSI has increased over time. Although our results suggest an overall stable picture for global lake dynamics, the limited instability signatures do not mean that lakes are insensitive to global change. Modeling the interaction between lake climatic, geophysical, and socioeconomic features and their stability properties, we find that the probability of a lake experiencing a tipping point increases with human population density in its catchment, while it decreases as the gross domestic product of that population increases. Our results show how quantifying lake productivity dynamics at a global scale highlights socioeconomic inequalities in conserving natural environments.","application/pdf","10.3929/ethz-b-000587490",,"0027-8424||1091-6490",,"doi:10.1073/pnas.2116413119","http://hdl.handle.net/20.500.11850/587490","en","National Academy of Sciences","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Regime shifts, trends, and variability of lake productivity at aglobal scale",,"Journal Article","Open access",,,,,"2022-12-15T15:15:16Z",,,,"yes",,,,,,,,,,,,,,,,"35","Proceedings of the National Academy of Sciences","119","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,"e2116413119","Washington, DC","published",,,,,,,"2022-12-16T13:51:09Z","2023-02-07T08:55:01Z","true","6 p.","BATCH",,,"publishedVersion",
"480812","20.500.11850/3","Feijen, Frida||Zajac, Natalia||Vorburger, Christoph||Blasco-Costa, Isabel||Jokela, Jukka",,,,,,"2022-12-16T13:20:53Z","2022-12-16T13:20:53Z",,"2022-08","2022-06-21","The phylogeographic patterns of many taxa on New Zealand's South Island are characterized by disjunct distributions that have been attributed to Pleistocene climatic cycles and the formation of the Southern Alps. Pleistocene glaciation has been implicated in shaping the contemporary genetic differentiation between populations of the aquatic snail Potamopyrgus antipodarum. We investigated whether similar phylogeographic patterns exist for the snail's locally adapted trematode parasite, Atriophallophorus winterbourni. We found evidence for a barrier to gene-flow in sympatry between cryptic, but ecologically divergent species. When focusing on the most common of these species, disjunct geographic distributions are found for mitochondrial lineages that diverged during the Pleistocene. The boundary between these distributions is found in the central part of the South Island and is reinforced by low cross-alpine migration. Further support for a vicariant origin of the phylogeographic pattern was found when assessing nuclear multilocus SNP data. Nuclear and mitochondrial population differentiation was concordant in pattern, except for populations in a potential secondary contact zone. Additionally, we found larger than expected differentiation between nuclear- and mitochondrial-based empirical Bayes FST estimates (global FST: 0.02 vs. 0.39 for nuclear and mitochondrial data, respectively). Population subdivision is theoretically expected to be stronger for mitochondrial genomes due to a smaller effective population size, but the strong difference here, together with mitonuclear discordance in a putative contact zone, is potentially indicative of divergent gene flow of nuclear and mitochondrial genomes.","application/pdf","10.3929/ethz-b-000557113",,"0962-1083||1365-294X","http://hdl.handle.net/20.500.11850/587488||http://hdl.handle.net/20.500.11850/557113","10.1111/mec.16570","http://hdl.handle.net/20.500.11850/587753","en","Wiley-Blackwell","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","phylogeography||population genetics||New Zealand||species delimitation||mitonuclear discordance","Phylogeography and cryptic species structure of a locally adapted parasite in New Zealand",,"Journal Article","Open access",,,,,"2022-07-10T03:17:56Z",,,,"yes",,,,,,,,,,,,"85133336531",,"000820504500001","Mol Ecol","15","Molecular Ecology","31","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"4126","4112","Oxford","published",,,,,,,"2022-12-16T13:20:55Z","2023-02-07T08:54:50Z","true",,"BATCH||WOS",,,"publishedVersion",
"494811","20.500.11850/10","Fischer, Martin C.||Reutimann, Oliver||Ulrich, Gabriel||Gugerli, Felix||Holderegger, Rolf||Widmer, Alex",,,,,,"2023-03-28T13:06:12Z","2022-12-20T09:39:29Z||2023-03-28T13:06:12Z",,"2022-08",,"Genetic diversity is the raw material of evolution and allows species and populations to adapt and persist in changing environments. Systematic and representative monitoring of genetic diversity has rarely been conducted, resulting in under-reporting to national and international authorities. Following our 2020 feasibility study on how genetic diversity and possible changes over time could be assessed across a variety of organisms, we initiated a pilot study for monitoring genetic diversity in five species across Switzerland. The pilot study aims to gain experience on how to implement a genetic diversity monitoring program using genomic approaches. We have selected five candidate species, each of which occurs in a specific habitat type of national importance and/or in anthropogenically modified landscapes. For each of the five species, we de novo assembled a reference genome. In 2021, we sampled >1,100 individuals from 135 populations across all biogeographic regions in Switzerland, applying a proportionally stratified random sampling strategy. We are currently whole-genome re-sequencing all individuals (~10x coverage). To explore possible changes in genetic diversity over time, we started a retrospective analysis of genetic diversity in two species, using specimens from natural history collections dating back up to 218 years. First results indicate that contemporary samples well represent the climate-space of each study species in Switzerland, and that retrospective monitoring based on historic DNA is feasible, but challenging. Another challenge remains to develop meaningful and intuitive indicators of change in genetic diversity for reporting to national and/or international authorities as well as practitioners.",,,,,,,"http://hdl.handle.net/20.500.11850/588342","en","European Conservation Genetics Meeting 2022",,,,"Monitoring genetic diversity: a genomics-based pilot study for Switzerland",,"Other Conference Item","Metadata only","European Conservation Genetics Meeting (ConsGen22) Abstract Book",,,,"2022-12-20T09:39:29Z",,,,"yes","5th European Conservation Genetics Meeting (ConsGen22)","August 30 - September 1, 2022","Edinburgh, United Kingdom",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706","Conference lecture held on September 1, 2022.",,"42","Edingburgh","published",,,,,,"true","2023-03-28T13:06:14Z","2023-03-28T13:06:14Z","true","1 p.","FORM","Monitoring genetic diversity",,,
