id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isCitedBy,ethz.relation.isIdenticalTo,ethz.relation.isSupplementedBy,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"274261","20.500.11850/3","Robinson, Christopher T.||Siebers, Andre R.||Ortlepp, Johannes",,,"2019-01-17T09:18:45Z","2019-01-17T09:18:45Z","2018-09","2018-07-12",,,,,,"http://hdl.handle.net/20.500.11850/279762||http://hdl.handle.net/20.500.11850/316070","10.1086/699481","http://hdl.handle.net/20.500.11850/316619","en","University of Chicago Press",,,"environmental flows||macroinvertebrates||periphyton||flood disturbance||brown trout||Swiss National Park","Long-term ecological responses of the River Spöl to experimental floods","Journal Article","Metadata only",,,"2018-08-01T07:11:09Z",,,"yes",,,,,,,,,,,,,,"85049782058",,"000441679400001",,"3","Freshwater Science","37","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"447","433","Chicago, IL","published",,,,,,,,"2019-01-17T09:19:03Z","2019-01-17T09:19:03Z","true",,"SCOPUS||BATCH",,
"265430","20.500.11850/3","Syme, Robert A.||Tan, Kar-Chun||Rybak, Kasia||Friesen, Timothy L.||McDonald, Bruce A.||Oliver, Richard P.||Hane, James K.",,,"2018-11-22T17:50:27Z","2018-11-09T05:02:49Z||2018-11-22T17:50:27Z","2018-09-01","2018-09-04","We report a fungal pan-genome study involving Parastagonospora spp., including 21 isolates of the wheat (Triticum aestivum) pathogen Parastagonospora nodorum, 10 of the grass-infecting Parastagonospora avenae, and 2 of a closely related undefined sister species. We observed substantial variation in the distribution of polymorphisms across the pan-genome, including repeat-induced point mutations, diversifying selection and gene gains and losses. We also discovered chromosome-scale inter and intraspecific presence/absence variation of some sequences, suggesting the occurrence of one or more accessory chromosomes or regions that may play a role in host–pathogen interactions. The presence of known pathogenicity effector loci SnToxA, SnTox1, and SnTox3 varied substantially among isolates. Three P. nodorum isolates lacked functional versions for all three loci, whereas three P. avenae isolates carried one or both of the SnTox1 and SnTox3 genes, indicating previously unrecognized potential for discovering additional effectors in the P. nodorum-wheat pathosystem. We utilized the pan-genomic comparative analysis to improve the prediction of pathogenicity effector candidates, recovering the three confirmed effectors among our top-ranked candidates. We propose applying this pan-genomic approach to identify the effector repertoire involved in other host–microbe interactions involving necrotrophic pathogens in the Pezizomycotina.","application/pdf","10.3929/ethz-b-000302229",,"1759-6653",,"10.1093/gbe/evy192","http://hdl.handle.net/20.500.11850/302229","en","Oxford University Press","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Parastagonospora nodorum||Pan-genome||plant pathogen||crop disease||host-microbe interactions","Pan-Parastagonospora Comparative Genome Analysis-Effector Prediction and Genome Evolution","Journal Article","Open access",,,"2018-11-09T05:02:53Z",,,"yes",,,,,,,,,,,,,,,,"000446102700023","Genome Biol Evol","9","Genome Biology and Evolution","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"2457","2443","Oxford","published",,,,,,,,"2018-11-22T17:50:46Z","2022-03-28T21:41:51Z","true",,"WOS",,"publishedVersion"
"250273","20.500.11850/4","Bons, Eva||Regoes, Roland R.",,,"2018-08-27T14:20:11Z","2018-08-24T08:29:01Z||2018-08-27T14:19:00Z||2018-08-27T14:20:11Z","2018-09",,"In evolutionary biology and epidemiology, phylodynamic methods are widely used to infer population biological characteristics, such as the rates of replication, death, migration, or, in the epidemiological context, pathogen spread. More recently, these methods have been used to elucidate the dynamics of viruses within their hosts. Especially the application of phylogeographic approaches has the potential to shed light on anatomical colonization pathways and the exchange of viruses between distinct anatomical compartments. We and others have termed this phyloanatomy. Here, we review the promise and challenges of phyloanatomy, and compare them to more classical virus dynamics and population genetic approaches. We argue that the extremely strong selection pressures that exist within the host may represent the main obstacle to reliable phyloanatomic analysis.","application/pdf","10.3929/ethz-b-000284347",,"0105-2896||1600-065X",,"10.1111/imr.12688","http://hdl.handle.net/20.500.11850/284347","en","Wiley-Blackwell","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Compartmentalization||infectious diseases||Mathematical modeling||phylodynamics||phyloanatomy||viral dynamics","Virus dynamics and phyloanatomy: Merging population dynamic and phylogenetic approaches","Review Article","Open access",,,"2018-08-24T08:29:19Z",,,"yes",,,,"Infering virus colonization pathways from high-throughput genetic data","149769","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,,,,"85051429109",,"000441290100010","Immunol Rev","1","Immunological Reviews","285","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","03584","03584",,"146","134","Oxford","published",,,,,,,,"2018-08-27T14:19:02Z","2022-03-28T21:06:06Z","true",,"SCOPUS",,"publishedVersion"
"274243","20.500.11850/4","Lange, Katharina||Meier, Philipp||Trautwein, Clemens||Schmid, Martin||Robinson, Christopher T.||Weber, Christine||Brodersen, Jakob",,,"2019-01-17T08:46:56Z","2019-01-17T08:46:56Z","2018-09","2018-06-12",,,,,"1540-9295||1540-9309","http://hdl.handle.net/20.500.11850/287776||http://hdl.handle.net/20.500.11850/316060","10.1002/fee.1823","http://hdl.handle.net/20.500.11850/316605","en","Wiley",,,,"Basin-scale effects of small hydropower on biodiversity dynamics","Review Article","Metadata only",,,"2019-01-17T08:47:02Z",,,"yes",,,,,,,,,,,,,,"85052530381",,"000443127200008","Front. ecol. environ.","7","Frontiers in Ecology and the Environment","16","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"404","397","Hoboken, NJ","published",,,,,,,,"2019-01-17T08:47:06Z","2022-03-28T22:04:51Z","true",,"WOS||BATCH",,
"275126","20.500.11850/3","Muyle, Aline||Zemp, Niklaus||Fruchard, Cécile||Cegan, Radim||Vrana, Jan||Deschamps, Clothilde||Tavares, Raquel||Hobza, Roman||Picard, Franck||Widmer, Alex||Marais, Gabriel A.B.",,,"2019-01-21T08:05:22Z","2018-09-17T08:50:59Z||2018-09-18T10:11:05Z||2019-01-21T08:05:22Z","2018-09-01","2018-08-13",,,,,"2055-026X||2055-0278",,"10.1038/s41477-018-0221-y","http://hdl.handle.net/20.500.11850/289920","en","Nature",,,,"Genomic imprinting mediates dosage compensation in a young plant XY system","Journal Article","Metadata only",,,"2018-09-17T08:51:06Z",,,"yes",,,,"Genomics of adaptation in the context of a rapid plant radiation","160123||160123","10.13039/501100001711||10.13039/501100001711","SNF||SNF","Projekte Lebenswissenschaften",,,,,,"85052331627",,"000446639100018","Nat Plants","9","Nature Plants","4","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,"680","677","London","published",,,,,,,,"2018-09-18T10:11:07Z","2022-03-28T22:06:22Z","true",,"SCOPUS",,
"286369","20.500.11850/10","Fischer, Martin C.",,,"2019-03-20T11:18:46Z","2018-12-04T08:54:55Z||2019-03-20T08:39:49Z||2019-03-20T11:18:46Z","2018-09",,,,,,,,,"http://hdl.handle.net/20.500.11850/308442","en",,,,,"Detection of the genomic signature of selection","Other Conference Item","Metadata only",,,"2018-12-04T08:54:58Z",,,"yes","Swiss Plant Science Web & NGS Advanced Course","September 17-18, 2018","Zurich, Switzerland",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706","Presentation held on 17. September 2018.",,,,"unpublished",,,,,,,,"2019-03-20T11:18:50Z","2019-03-20T11:18:50Z","true",,"FORM",,
"373376","20.500.11850/3","Ulrich, Yuko||Saragosti, Jonathan||Tokita, Christopher K.||Tarnita, Corina E.||Kronauer, Daniel J.C.",,,"2020-10-26T17:46:47Z","2020-10-26T15:53:12Z||2020-10-26T17:46:47Z","2018-08-30","2018-08-22","The initial fitness benefits of group living are considered to be the greatest hurdle to the evolution of sociality1, and evolutionary theory predicts that these benefits need to arise at very small group sizes2. Such benefits are thought to emerge partly from scaling effects that increase efficiency as group size increases3,4,5. In social insects and other taxa, the benefits of group living have been proposed to stem from division of labour5,6,7,8, which is characterized by between-individual variability and within-individual consistency (specialization) in task performance. However, at the onset of sociality groups were probably small and composed of similar individuals with potentially redundant—rather than complementary—function1. Self-organization theory suggests that division of labour can emerge even in relatively small, simple groups9,10. However, empirical data on the effects of group size on division of labour and on fitness remain equivocal6. Here we use long-term automated behavioural tracking in clonal ant colonies, combined with mathematical modelling, to show that increases in the size of social groups can generate division of labour among extremely similar workers, in groups as small as six individuals. These early effects on behaviour were associated with large increases in homeostasis—the maintenance of stable conditions in the colony11—and per capita fitness. Our model suggests that increases in homeostasis are primarily driven by increases in group size itself, and to a smaller extent by a higher division of labour. Our results indicate that division of labour, increased homeostasis and higher fitness can emerge naturally in social groups that are small and homogeneous, and that scaling effects associated with increasing group size can thus promote social cohesion at the incipient stages of group living.",,,,"0028-0836||1476-4687",,"10.1038/s41586-018-0422-6","http://hdl.handle.net/20.500.11850/447998","en","Nature Publishing Group",,,,"Fitness benefits and emergent division of labour at the onset of group living","Journal Article","Metadata only",,,"2020-10-26T15:53:22Z",,,"no",,,,,,,,,,,,,,,,,,"7720","Nature","560","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09725 - Ulrich, Yuko (ehemalig) / Ulrich, Yuko (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09725 - Ulrich, Yuko (ehemalig) / Ulrich, Yuko (former)","09725","09725",,"638","635","London","published",,,,,,,,"2020-10-26T17:47:06Z","2022-03-29T03:49:53Z","true",,"BATCH",,
"279108","20.500.11850/10","Walther, Ursina",,,"2019-02-01T09:02:40Z","2019-01-09T14:58:02Z||2019-01-22T12:17:02Z||2019-01-22T14:14:59Z||2019-02-01T09:02:40Z","2018-08-19",,,,,,,,,"http://hdl.handle.net/20.500.11850/314574","en","Joint Congress on Evolutionary Biology",,,,"The Role of Ecology in the Evolution of floral Traits in a wild Carnation","Other Conference Item","Metadata only","2nd Joint Congress on Evolutionary Biology: Oral Communication and Poster Abstracts. Online",,"2019-01-09T14:58:04Z",,,"yes","2nd Joint Congress on Evolutionary Biology","August 18-22, 2018","Montpellier, France",,,,,,,,,,,,"https://oral-and-poster-abstracts.europa-group.com/index/slide/abstract/589||https://programme.europa-organisation.com/slides/programme_jointCongressEvolBiology-2018/webconf/1048_19082018_1440_joffreab_Ursina_Walther_921/index.html",,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander",,"03706",,"Conference lecture on August 19, 2018",,,"Montpellier","published",,,,,,,"false","2019-01-22T12:17:06Z","2019-02-01T09:02:46Z","true",,"FORM",,
"254383","20.500.11850/3","Yu, Kang||Anderegg, Jonas||Mikaberidze, Alexey||Karisto, Petteri||Mascher, Fabio||McDonald, Bruce A.||Walter, Achim||Hund, Andreas",,,"2018-09-20T14:09:29Z","2018-09-14T05:34:16Z||2018-09-19T12:38:42Z||2018-09-20T14:09:29Z","2018-08-17",,"Producing quantitative and reliable measures of crop disease is essential for resistance breeding, but is challenging and time consuming using traditional phenotyping methods. Hyperspectral remote sensing has shown potential for the detection of plant diseases, but its utility for phenotyping large and diverse populations of plants under field conditions requires further evaluation. In this study, we collected canopy hyperspectral data from 335 wheat varieties using a spectroradiometer, and we investigated the use of canopy reflectance for detecting the Septoria tritici blotch (STB) disease and for quantifying the severity of infection. Canopy- and leaf-level infection metrics of STB based on traditional visual assessments and automated analyses of leaf images were used as ground truth data. Results showed (i) that canopy reflectance and the selected spectral indices show promise for quantifying STB infections, and (ii) that the normalized difference water index (NDWI) showed the best performance in detecting STB compared to other spectral indices. Moreover, partial least squares (PLS) regression models allowed for an improvement in the prediction of STB metrics. The PLS discriminant analysis (PLSDA) model calibrated based on the spectral data of four reference varieties was able to discriminate between the diseased and healthy canopies among the 335 varieties with an accuracy of 93% (Kappa = 0.60). Finally, the PLSDA model predictions allowed for the identification of wheat genotypes that are potentially more susceptible to STB, which was confirmed by the STB visual assessment. This study demonstrates the great potential of using canopy hyperspectral remote sensing to improve foliar disease assessment and to facilitate plant breeding for disease resistance.","application/pdf","10.3929/ethz-b-000289616",,"1664-462X",,"10.3389/fpls.2018.01195","http://hdl.handle.net/20.500.11850/289616","en","Frontiers Media","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Field-based phenotyping||Hyperspectral remote sensing||Partial least squares discriminant analysis||Plant phenotyping||Plant spectroscopy||Resistance breeding||Septoria tritici blotch||Wheat disease","Hyperspectral Canopy Sensing of Wheat Septoria Tritici Blotch Disease","Journal Article","Open access",,,"2018-09-14T05:35:04Z",,,"yes",,,,,,,,,,,,,,"85054505567",,"000441883600001","Front. Plant Sci.",,"Frontiers in Plant Science","9","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03894 - Walter, Achim / Walter, Achim","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03894 - Walter, Achim / Walter, Achim","03516||03894","03516||03894",,,"1195","Lausanne","published",,,,,,,"true","2018-09-20T14:09:36Z","2019-02-03T08:07:24Z","true","17 p.","WOS",,"publishedVersion"
"274286","20.500.11850/3","Shu, Longfei||Qiu, Jie||Räsänen, Katja",,,"2019-01-17T09:41:24Z","2019-01-17T09:41:24Z","2018-08-16",,"Maternal effects can substantially affect ecological and evolutionary processes in natural populations. However, as they often are environmentally induced, establishing their genetic basis is challenging. One important, but largely neglected, source of maternal effects are egg coats (i.e., the maternally derived extracellular matrix that surrounds the embryo). In the moor frog, the gelatinous egg coats (i.e., egg jelly) are produced in the mother’s oviduct and consist primarily of highly glycosylated mucin type O-glycans. These O-glycans affect jelly water balance and, subsequently, contribute to adaptive divergence in embryonic acid tolerance. To identify candidate genes for maternal effects, we conducted RNAseq transcriptomics on oviduct samples from seven R. arvalis females, representing the full range of within and among population variation in embryonic acid stress tolerance across our study populations. De novo sequencing of these oviduct transcriptomes detected 124,071 unigenes and functional annotation analyses identified a total of 57,839 unigenes, of which several identified genes likely code for variation in egg jelly coats. These belonged to two main groups: mucin type core protein genes and five different types of glycosylation genes. We further predict 26,711 gene-linked microsatellite (simple sequence repeats) and 231,274 single nucleotide polymorphisms. Our study provides the first set of genomic resources for R. arvalis, an emerging model system for the study of ecology and evolution in natural populations, and gives insight into the genetic architecture of egg coat mediated maternal effects.","application/pdf","10.3929/ethz-b-000285484",,"2167-8359","http://hdl.handle.net/20.500.11850/285484||http://hdl.handle.net/20.500.11850/316074","10.7717/peerj.5452","http://hdl.handle.net/20.500.11850/316645","en","PeerJ","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Amphibian||Egg coat||Glycosylation||Maternal effect genes||RNA seq||Rana arvalis||Transcriptome||Moor frog||Oviduct||Acidification","De novo oviduct transcriptome of the moor frog Rana arvalis: a quest for maternal effect candidate genes","Journal Article","Open access",,,"2018-08-30T04:31:16Z",,,"yes",,,,,,,,,,,,,,,,"000441995700005","PeerJ",,"PeerJ","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,"e5452","London","published",,,,,,,,"2019-01-17T09:41:42Z","2019-01-17T09:41:42Z","true","24 p.","WOS||BATCH",,"publishedVersion"
"254799","20.500.11850/3","Kariyat, Rupesh R.||Hardison, Sean B.||Ryan, Aisling B.||Stephenson, Andrew G.||De Moraes, Consuelo M.||Mescher, Mark C.",,,"2018-09-25T10:58:49Z","2018-09-17T08:22:11Z||2018-09-25T10:56:54Z||2018-09-25T10:58:49Z","2018-08-09",,"Leaf trichomes play well-established roles in defense against insect herbivores, both as a physical barrier that impedes herbivore movement and by mediating chemical defenses. However, little work has examined how different trichome types influence herbivory by herbivores at different stages of development. We examined whether caterpillar instar and trichome type (glandular or non-glandular) affected the ability of the specialist herbivore caterpillar Manduca sexta to initiate feeding on 11 Solanaceous species exhibiting variation in the density and type of leaf trichomes. Our results suggest that non-glandular trichomes are far more effective than glandular trichomes in deterring the initiation of feeding by first- and second-instar caterpillars. Meanwhile, neither glandular nor non-glandular trichomes significantly affected the ability of third-instar caterpillars to commence feeding. These findings suggest that while non-glandular trichomes deter feeding initiation by early instar caterpillars, the contribution of both trichomes on later instars may depend on effects after feeding initiation.","application/pdf","10.3929/ethz-b-000289903",,"1942-0889",,"10.1080/19420889.2018.1486653","http://hdl.handle.net/20.500.11850/289903","en","Taylor & Francis","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Glandular trichomes||larval instar||Manduca sexta||non-glandular trichomes||Solanaceae","Leaf trichomes affect caterpillar feeding in an instar-specific manner","Journal Article","Open access",,,"2018-09-17T08:22:14Z",,,"yes",,,,,,,,,,,,,,"85051834314",,,"Commun Integr Biol","3","Communicative & Integrative Biology","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03970 - De Moraes, Consuelo / De Moraes, Consuelo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03909 - Levine, Jonathan M. (ehemalig) / Levine, Jonathan M. (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03970 - De Moraes, Consuelo / De Moraes, Consuelo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03909 - Levine, Jonathan M. (ehemalig) / Levine, Jonathan M. (former)","03970||03909","03970||03909",,,"e1486653","Philadelphia PA, USA","published",,,,,,,,"2018-09-25T10:56:59Z","2021-02-15T01:52:00Z","true","6 p.","SCOPUS",,"publishedVersion"
"243365","20.500.11850/3","Chen, Ning||Wang, Xinping||Zhang, Yafeng||Yu, Kailiang||Zhao, Changming",,,"2018-07-12T13:27:04Z","2018-07-12T05:54:48Z||2018-07-12T13:27:04Z","2018-08","2018-06-30",,,,,"0022-1694||1879-2707",,"10.1016/j.jhydrol.2018.06.076","http://hdl.handle.net/20.500.11850/275287","en","Elsevier",,,"Drylands||Long-term restoration||Ecohydrological model||Biocrust||Layered soils||Infiltration","Ecohydrological effects of biological soil crust on the vegetation dynamics of restoration in a dryland ecosystem","Journal Article","Metadata only",,,"2018-07-12T05:54:57Z",,,"yes",,,,,,,,,,,,,,"85049444120",,"000441492700086","J. Hydrol.",,"Journal of Hydrology","563","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","09625","09625",,"1077","1068","Amsterdam","published",,,,,,,,"2018-07-12T13:27:15Z","2021-02-15T00:41:12Z","true",,"SCOPUS",,
"344794","20.500.11850/3","Day, Troy||McLeod, David V.",,,"2020-04-22T07:08:28Z","2018-06-08T07:17:08Z||2018-06-21T12:57:26Z||2020-04-22T07:08:28Z","2018-08","2018-05-29","Evolutionary conflicts arise when the fitness interests of interacting individuals differ. Well-known examples include sexual conflict between males and females and antagonistic coevolution between hosts and parasites. A common feature of such conflicts is that compensating evolutionary change in each of the parties can lead to little overt change in the interaction itself. As a result, evolutionary conflict is expected to persist even if the evolutionary dynamic between the parties reaches an equilibrium. In these cases, it is of interest to know whether certain kinds of interactions are expected to lead to greater or lesser evolutionary conflict at such evolutionary stalemates. Here we present a theoretical analysis showing that when one of the interacting parties can respond to the other through adaptive phenotypic plasticity, evolutionary conflict is reduced. Paradoxically, however, it is the party that does not express adaptive plasticity that experiences less conflict. Conflict for the party displaying adaptive plasticity can increase or decrease, depending on the situation.","application/pdf","10.3929/ethz-b-000268616",,"0003-0147||1537-5323",,"10.1086/698170","http://hdl.handle.net/20.500.11850/268616","en","University of Chicago Press","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","evolutionary theory||sexual conflict||host-parasite conflict||arms race||sexual selection||interlocus conflict","The Role of Phenotypic Plasticity in Moderating Evolutionary Conflict","Journal Article","Open access",,,"2018-06-08T07:17:17Z",,,"yes",,,,,,,,,,,,,"30016156","85047666890",,"000438972600012","Amer Natur","2","The American Naturalist","192","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","03584","03584",,"240","230","Chicago, IL","published",,,,,,,,"2018-06-21T12:57:30Z","2020-04-22T07:08:38Z","true","11 p.","SCOPUS",,"publishedVersion"
