id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.hasPart,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementTo,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"110926","20.500.11850/5","Ackermann, Martin||Schreiber, Frank",,,"2017-06-11T23:22:36Z","2017-06-11T23:22:36Z","2015-07",,,,,,"1462-2912||1462-2920",,"10.1111/1462-2920.12877","http://hdl.handle.net/20.500.11850/110959","en","Wiley-Blackwell",,,,"A growing focus on bacterial individuality","Other Journal Item","Metadata only",,,"2017-06-11T23:22:47Z",,"pub:172271",,"yes",,,,,,,,,,"imp593653fdcaee762660",,,,,"Environ. microbiol.","7","Environmental Microbiology","17","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin||03747 - Walcher, Johannes (SNF-Professur)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","03743||","03743","Published online 14 May 2015.","2195","2193","Oxford","published",,,,,,,,"true","2017-07-13T10:25:08Z","2023-02-06T13:13:33Z","true",,"ECIT",,
"246811","20.500.11850/3","Ruiz, Siul||Or, Dani||Schymanski, Stanislaus J.",,,"2018-08-02T12:45:28Z","2017-06-11T18:19:56Z||2018-08-02T12:45:28Z","2015-06-18",,"We quantify mechanical processes common to soil penetration by earthworms and growing plant roots, including the energetic requirements for soil plastic displacement. The basic mechanical model considers cavity expansion into a plastic wet soil involving wedging by root tips or earthworms via cone-like penetration followed by cavity expansion due to pressurized earthworm hydroskeleton or root radial growth. The mechanical stresses and resulting soil strains determine the mechanical energy required for bioturbation under different soil hydro-mechanical conditions for a realistic range of root/earthworm geometries. Modeling results suggest that higher soil water content and reduced clay content reduce the strain energy required for soil penetration. The critical earthworm or root pressure increases with increased diameter of root or earthworm, however, results are insensitive to the cone apex (shape of the tip). The invested mechanical energy per unit length increase with increasing earthworm and plant root diameters, whereas mechanical energy per unit of displaced soil volume decreases with larger diameters. The study provides a quantitative framework for estimating energy requirements for soil penetration work done by earthworms and plant roots, and delineates intrinsic and external mechanical limits for bioturbation processes. Estimated energy requirements for earthworm biopore networks are linked to consumption of soil organic matter and suggest that earthworm populations are likely to consume a significant fraction of ecosystem net primary production to sustain their subterranean activities.","application/pdf","10.3929/ethz-b-000102420",,"1932-6203",,"10.1371/journal.pone.0128914","http://hdl.handle.net/20.500.11850/102420","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Soil Penetration by Earthworms and Plant Roots-Mechanical Energetics of Bioturbation of Compacted Soils","Journal Article","Open access",,,"2017-06-11T18:20:34Z",,"pub:160553",,"yes",,,,,,,,,,"imp593653500a63844500","006206116","84939167400",,"000356567500030","PLoS ONE","6","PLoS ONE","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812",,,"e0128914","San Francisco, CA","published",,,,,"10.1371/journal.pone.0136225",,,,"2017-07-19T08:07:35Z","2021-02-15T00:56:01Z","true","26 p.","ECIT",,"publishedVersion"
"464598","20.500.11850/3","Jiskra, Martin||Wiederhold, Jan G.||Skyllberg, Ulf||Kronberg, Rose-Marie||Hajdas, Irka||Kretzschmar, Ruben",,,"2022-08-24T13:27:50Z","2017-06-11T18:19:41Z||2022-08-24T06:25:42Z||2022-08-24T13:27:50Z","2015-06-16","2015-05-06","Soils comprise the largest terrestrial mercury (Hg) pool in exchange with the atmosphere. To predict how anthropogenic emissions affect global Hg cycling and eventually human Hg exposure, it is crucial to understand Hg deposition and re-emission of legacy Hg from soils. However, assessing Hg deposition and re-emission pathways remains difficult because of an insufficient understanding of the governing processes. We measured Hg stable isotope signatures of radiocarbon-dated boreal forest soils and modeled atmospheric Hg deposition and re-emission pathways and fluxes using a combined source and process tracing approach. Our results suggest that Hg in the soils was dominantly derived from deposition of litter (∼90% on average). The remaining fraction was attributed to precipitation-derived Hg, which showed increasing contributions in older, deeper soil horizons (up to 27%) indicative of an accumulation over decades. We provide evidence for significant Hg re-emission from organic soil horizons most likely caused by nonphotochemical abiotic reduction by natural organic matter, a process previously not observed unambiguously in nature. Our data suggest that Histosols (peat soils), which exhibit at least seasonally water-saturated conditions, have re-emitted up to one-third of previously deposited Hg back to the atmosphere. Re-emission of legacy Hg following reduction by natural organic matter may therefore be an important pathway to be considered in global models, further supporting the need for a process-based assessment of land/atmosphere Hg exchange.","application/pdf","10.3929/ethz-b-000102398",,"0013-936X||1520-5851",,"10.1021/acs.est.5b00742","http://hdl.handle.net/20.500.11850/102398","en","American Chemical Society","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Mercury Deposition and Re-emission Pathways in Boreal Forest Soils Investigated with Hg Isotope Signatures","Journal Article","Open access",,,"2017-06-11T18:20:34Z",,"pub:160531",,"yes",,,,,,,,,,"imp5936534f75eb924728",,,,"000356755200012","Environ. Sci. Technol.","12","Environmental Science & Technology","49","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02010 - Dep. Physik / Dep. of Physics::02532 - Institut für Teilchen- und Astrophysik / Inst. Particle Physics and Astrophysics::08619 - Labor für Ionenstrahlphysik (LIP) / Laboratory of Ion Beam Physics (LIP)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02725 - Institut für Geochemie und Petrologie / Institute of Geochemistry and Petrology::03956 - Vance, Derek / Vance, Derek||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02010 - Dep. Physik / Dep. of Physics::02532 - Institut für Teilchen- und Astrophysik / Inst. Particle Physics and Astrophysics::08619 - Labor für Ionenstrahlphysik (LIP) / Laboratory of Ion Beam Physics (LIP)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02725 - Institut für Geochemie und Petrologie / Institute of Geochemistry and Petrology::03956 - Vance, Derek / Vance, Derek||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","08619||03956||03541","08619||03956||03541",,"7196","7188","Washington, DC","published",,,,,,,,,"2017-07-18T10:21:11Z","2023-02-07T05:36:27Z","true",,"ECIT",,"publishedVersion"
"318081","20.500.11850/8","Schymanski, Stanislaus J.||Or, Dani",,,"2019-11-08T13:35:33Z","2017-06-11T18:50:08Z||2019-11-08T13:35:33Z","2015-06-12",,"Transpiration is commonly conceptualised as a fraction of some potential rate, driven by so-called ""atmospheric evaporative demand"". Therefore, atmospheric evaporative demand or ""potential evaporation"" is generally used alongside with precipitation and soil moisture to characterise the environmental conditions that affect plant water use. Consequently, an increase in potential evaporation (e.g. due to climate change) is believed to cause increased transpiration and/or vegetation water stress. In the present study, we investigated the question whether potential evaporation constitutes a meaningful reference for transpiration and compared sensitivity of potential evaporation and leaf transpiration to atmospheric forcing. A physically-based leaf energy balance model was used, considering the dependence of feedbacks between leaf temperature and exchange rates of radiative, sensible and latent heat on stomatal resistance. Based on modelling results and supporting experimental evidence, we conclude that stomatal resistance cannot be parameterised as a factor relating transpiration to potential evaporation, as the ratio between transpiration and potential evaporation not only varies with stomatal resistance, but also with wind speed, air temperature, irradiance and relative humidity. Furthermore, the effect of wind speed in particular implies increase in potential evaporation, which is commonly interpreted as increased ""water stress"", but at the same time can reduce leaf transpiration, implying a decrease in water demand at leaf scale.","application/pdf","10.3929/ethz-b-000103350",,"2199-899X||2199-8981",,"10.5194/piahs-371-99-2015","http://hdl.handle.net/20.500.11850/103350","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Wind effects on leaf transpiration challenge the concept of ""potential evaporation""","Conference Paper","Open access",,,"2017-06-11T18:50:21Z",,"pub:161591",,"yes","26th General Assembly of the International Union of Geodesy and Geophysics (IUGG 2015)","June 22 - July 2, 2015","Prague, Czech Republic",,,,,,,"imp59365365b676f81778",,"84954558552",,"000365021100018",,,"Proceedings of the International Association of Hydrological Sciences","371","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812",,"107","99","Göttingen","published",,,,,,,,,"2017-07-19T12:40:26Z","2022-03-29T00:14:42Z","true",,"ECIT",,"publishedVersion"
"295768","20.500.11850/3","van Vliet, Simon||Ackermann, Martin",,,"2019-06-05T10:32:49Z","2017-06-11T18:23:20Z||2019-06-05T10:32:49Z","2015-06-03",,"Multicellular eukaryotes can perform functions that exceed the possibilities of an individual cell. These functions emerge through interactions between differentiated cells that are precisely arranged in space. Bacteria also form multicellular collectives that consist of differentiated but genetically identical cells. How does the functionality of these collectives depend on the spatial arrangement of the differentiated bacteria? In a previous issue of PLOS Biology, van Gestel and colleagues reported an elegant example of how the spatial arrangement of differentiated cells gives rise to collective behavior in Bacillus subtilus colonies, further demonstrating the similarity of bacterial collectives to higher multicellular organisms.","application/pdf","10.3929/ethz-b-000102513",,"1544-9173||1545-7885",,"10.1371/journal.pbio.1002162","http://hdl.handle.net/20.500.11850/102513","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Bacterial Ventures into Multicellularity: Collectivism through Individuality","Journal Article","Open access",,,"2017-06-11T18:24:04Z",,"pub:160653",,"yes",,,,,,,,,,"imp5936535239a9b17626","004606893",,,"000357339600003","PLoS biol.","6","PLoS Biology","13","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","03743","03743",,,"e1002162","Lawrence, KS","published",,,,,,,,,"2017-07-24T10:02:16Z","2022-03-28T23:01:26Z","true","5 p.","ECIT",,"publishedVersion"
"100685","20.500.11850/3","Haghighi, Erfan||Or, Dani",,,"2017-06-11T17:21:37Z","2017-06-11T17:21:37Z","2015-06",,,,,,"0022-1694||1879-2707",,"10.1016/j.jhydrol.2015.04.019","http://hdl.handle.net/20.500.11850/100718","en","Elsevier",,,"Evaporation||Porous surface||Flux reconciliation||Surface resistance||Monin–Obukhov similarity theory","Linking evaporative fluxes from bare soil across surface viscous sublayer with the Monin-Obukhov atmospheric flux-profile estimates","Journal Article","Metadata only",,,"2017-06-11T17:22:22Z",,"pub:158076",,"yes",,,,,,,,,,"imp59365328dbf9e87796","000049368","84928575558",,"000355885600057","J. Hydrol.",,"Journal of Hydrology","525","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Received 19 November 2014, Revised 6 April 2015, Accepted 11 April 2015, Published online 18 April 2015.","693","684","Amsterdam","published",,,,,,,,,"2017-07-13T09:31:04Z","2021-02-14T12:55:20Z","true",,"ECIT",,
"103119","20.500.11850/3","Lagostina, Lorenzo||Goldhammer, Tobias||Røy, Hans||Jørgensen, Bo B.||Evans, Thomas W.||Lever, Mark A.||Petersen, Dorthe G.||Schramm, Andreas||Schreiber, Lars",,,"2017-06-11T18:42:48Z","2017-06-11T18:42:48Z","2015-06",,,,,,"1758-2229",,"10.1111/1758-2229.12264","http://hdl.handle.net/20.500.11850/103152","en","Wiley-Blackwell",,,,"Ammonia-oxidizing bacteria of the Nitrosospira cluster 1 dominate over ammonia-oxidizing archaea in oligotrophic surface sediments near the South Atlantic Gyre","Journal Article","Metadata only",,,"2017-06-11T18:42:59Z",,"pub:161348",,"no",,,,,,,,,,"imp593653614f8eb15665",,,,,"Environ. Microbiol. Rep.","3","Environmental Microbiology Reports","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09496 - Lever, Mark A. (ehemalig) / Lever, Mark A. (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09496 - Lever, Mark A. (ehemalig) / Lever, Mark A. (former)","09496","09496","Received 7 July 2014, Revised 22 December 2014, Accepted 1 January 2015, Published online 8 April 2015.","413","404","West Sussex","published",,,,,,,,"true","2017-07-13T18:09:52Z","2023-02-06T12:59:04Z","true",,"ECIT",,
"366251","20.500.11850/4","Winkel, Lenny H.E.||Vriens, Bas||Jones, Gerrad D.||Schneider, Leila S.||Pilon-Smits, Elizabeth||Bañuelos, Gary S.",,,"2020-09-03T14:43:45Z","2017-06-11T18:32:35Z||2019-06-24T15:25:21Z||2020-09-03T14:43:45Z","2015-05-29",,"Selenium (Se) is an essential element for humans and animals, which occurs ubiquitously in the environment. It is present in trace amounts in both organic and inorganic forms in marine and freshwater systems, soils, biomass and in the atmosphere. Low Se levels in certain terrestrial environments have resulted in Se deficiency in humans, while elevated Se levels in waters and soils can be toxic and result in the death of aquatic wildlife and other animals. Human dietary Se intake is largely governed by Se concentrations in plants, which are controlled by root uptake of Se as a function of soil Se concentrations, speciation and bioavailability. In addition, plants and microorganisms can biomethylate Se, which can result in a loss of Se to the atmosphere. The mobilization of Se across soil-plant-atmosphere interfaces is thus of crucial importance for human Se status. This review gives an overview of current knowledge on Se cycling with a specific focus on soil-plant-atmosphere interfaces. Sources, speciation and mobility of Se in soils and plants will be discussed as well as Se hyperaccumulation by plants, biofortification and biomethylation. Future research on Se cycling in the environment is essential to minimize the adverse health effects associated with unsafe environmental Se levels.","application/pdf","10.3929/ethz-b-000102817",,"2072-6643",,"10.3390/nu7064199","http://hdl.handle.net/20.500.11850/102817","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Selenium||Environment||Plants||Soil||Atmosphere||Speciation||Biomethylation||Biofortification||Hyperaccumulation","Selenium Cycling Across Soil-Plant-Atmosphere Interfaces: A Critical Review","Review Article","Open access",,,"2017-06-11T18:33:11Z",,"pub:160975",,"yes",,,,"The global biogeochemical cycle of selenium: sources, fluxes and the influence of climate","133619","10.13039/501100001711","SNF","SNF-Förderungsprofessuren Stufe 2",,"imp5936535957a8271019","006947861",,,"000357281800015",,"6","Nutrients","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03933 - Winkel, Lenny / Winkel, Lenny","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03933 - Winkel, Lenny / Winkel, Lenny","03933","03933",,"4239","4199","Basel","published",,,,,,,,,"2017-07-12T17:17:23Z","2023-02-06T20:24:52Z","true",,"ECIT",,"publishedVersion"
"296035","20.500.11850/3","Schymanski, Stanislaus J.||Roderick, Michael L.||Sivapalan, Murugesu",,,"2019-06-06T13:14:26Z","2017-06-11T18:45:56Z||2019-06-06T13:14:26Z","2015-05-27",,"Vegetation has different adjustable properties for adaptation to its environment. Examples include stomatal conductance at short time scale (minutes), leaf area index and fine root distributions at longer time scales (days–months) and species composition and dominant growth forms at very long time scales (years–decades–centuries). As a result, the overall response of evapotranspiration to changes in environmental forcing may also change at different time scales. The vegetation optimality model simulates optimal adaptation to environmental conditions, based on the assumption that different vegetation properties are optimized to maximize the long-term net carbon profit, allowing for separation of different scales of adaptation, without the need for parametrization with observed responses. This paper discusses model simulations of vegetation responses to today's elevated atmospheric CO2 concentrations (eCO2) at different temporal scales and puts them in context with experimental evidence from free-air CO2 enrichment (FACE) experiments. Without any model tuning or calibration, the model reproduced general trends deduced from FACE experiments, but, contrary to the widespread expectation that eCO2 would generally decrease water use due to its leaf-scale effect on stomatal conductance, our results suggest that eCO2 may lead to unchanged or even increased vegetation water use in water-limited climates, accompanied by an increase in perennial vegetation cover.","application/pdf","10.3929/ethz-b-000103251",,"2041-2851",,"10.1093/aobpla/plv060","http://hdl.handle.net/20.500.11850/103251","en","Oxford University Press","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Adaptation||Ecohydrology||Evapotranspiration||Global change||Optimality||Vegetation","Using an optimality model to understand medium and long-term responses of vegetation water use to elevated atmospheric CO2 concentrations","Journal Article","Open access",,,"2017-06-11T18:46:08Z",,"pub:161461",,"yes",,,,,,,,,,"imp5936536355e9651649","006564904",,,"000358834200001",,,"AoB Plants","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Part of the Special Issue: Scaling Effects Regulating Plant Responseto Global Change",,"plv060","Oxford","published",,,,,,,,,"2017-07-19T12:57:50Z","2021-02-15T04:43:17Z","true","17 p.","ECIT",,"publishedVersion"
"296144","20.500.11850/3","Ozuolmez, Derya||Na, Hyunsoo||Lever, Mark A.||Kjeldsen, Kasper U.||Jørgensen, Bo B.||Plugge, Caroline M.",,,"2019-06-07T07:54:23Z","2017-06-11T18:42:45Z||2019-06-07T07:54:23Z","2015-05-27",,"Acetate is a major product of fermentation processes and an important substrate for sulfate reducing bacteria and methanogenic archaea. Most studies on acetate catabolism by sulfate reducers and methanogens have used pure cultures. Less is known about acetate conversion by mixed pure cultures and the interactions between both groups. We tested interspecies hydrogen transfer and coexistence between marine methanogens and sulfate reducers using mixed pure cultures of two types of microorganisms. First, Desulfovibrio vulgaris subsp. vulgaris (DSM 1744), a hydrogenotrophic sulfate reducer, was cocultured together with the obligate aceticlastic methanogen Methanosaeta concilii using acetate as carbon and energy source. Next, Methanococcus maripaludis S2, an obligate H2- and formate-utilizing methanogen, was used as a partner organism to M. concilii in the presence of acetate. Finally, we performed a coexistence experiment between M. concilii and an acetotrophic sulfate reducer Desulfobacter latus AcSR2. Our results showed that D. vulgaris was able to reduce sulfate and grow from hydrogen leaked by M. concilii. In the other coculture, M. maripaludis was sustained by hydrogen leaked by M. concilii as revealed by qPCR. The growth of the two aceticlastic microbes indicated co-existence rather than competition. Altogether, our results indicate that H2 leaking from M. concilii could be used by efficient H2-scavengers. This metabolic trait, revealed from coculture studies, brings new insight to the metabolic flexibility of methanogens and sulfate reducers residing in marine environments in response to changing environmental conditions and community compositions. Using dedicated physiological studies we were able to unravel the occurrence of less obvious interactions between marine methanogens and sulfate-reducing bacteria.","application/pdf","10.3929/ethz-b-000103148",,"1664-302X",,"10.3389/fmicb.2015.00492","http://hdl.handle.net/20.500.11850/103148","en","Frontiers Media","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Metabolic flexibility||Microbial interactions||Methanosaeta||Methanococcus||Desulfovibrio||Desulfobacter","Methanogenic archaea and sulfate reducing bacteria co-cultured on acetate: teamwork or coexistence?","Journal Article","Open access",,,"2017-06-11T18:42:59Z",,"pub:161344",,"yes",,,,,,,,,,"imp593653613663c74379","010181524",,,,"Front Microbiol",,"Frontiers in Microbiology","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09496 - Lever, Mark A. (ehemalig) / Lever, Mark A. (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09496 - Lever, Mark A. (ehemalig) / Lever, Mark A. (former)","09496","09496",,,"492","Lausanne","published",,,,,,,,"true","2017-07-18T07:55:30Z","2023-02-06T17:10:39Z","true","12 p.","ECIT",,"publishedVersion"
"464444","20.500.11850/3","Sander, Michael||Hofstetter, Thomas B.||Gorski, Christopher A.",,,"2022-08-24T06:22:15Z","2017-06-11T17:47:47Z||2022-08-24T06:22:15Z","2015-05-19","2015-04-09","Redox-active minerals are ubiquitous in the environment and are involved in numerous electron transfer reactions that significantly affect biogeochemical processes and cycles as well as pollutant dynamics. As a consequence, research in different scientific disciplines is devoted to elucidating the redox properties and reactivities of minerals. This review focuses on the characterization of mineral redox properties using electrochemical approaches from an applied (bio)geochemical and environmental analytical chemistry perspective. Establishing redox equilibria between the minerals and working electrodes is a major challenge in electrochemical measurements, which we discuss in an overview of traditional electrochemical techniques. These issues can be overcome with mediated electrochemical analyses in which dissolved redox mediators are used to increase the rate of electron transfer and to facilitate redox equilibration between working electrodes and minerals in both amperometric and potentiometric measurements. Using experimental data on an iron-bearing clay mineral, we illustrate how mediated electrochemical analyses can be employed to derive important thermodynamic and kinetic data on electron transfer to and from structural iron. We summarize anticipated methodological advancements that will further contribute to advance an improved understanding of electron transfer to and from minerals in environmentally relevant redox processes.","application/pdf","10.3929/ethz-b-000101481",,"0013-936X||1520-5851",,"10.1021/acs.est.5b00006","http://hdl.handle.net/20.500.11850/101481","en","American Chemical Society","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Electrochemical analyses of redox-active iron minerals: A review of nonmediated and mediated approaches","Journal Article","Open access",,,"2017-06-11T17:48:47Z",,"pub:159288",,"yes",,,,,,,,,,"imp5936533a242a562889",,"84930005134",,,"Environ. Sci. Technol.","10","Environmental Science & Technology","49","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850",,"5878","5862","Washington, DC","published",,,,,,,,,"2017-07-15T10:41:06Z","2023-02-07T05:34:23Z","true",,"ECIT",,"publishedVersion"
