id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.relation.isnodouble,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isCitedBy,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.isSourceOf,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"114911","20.500.11850/3","Trutnevyte, Evelina",,,"2017-06-12T03:53:22Z","2017-06-12T03:53:22Z","2016-07",,,,,,"0360-5442||1873-6785",,"10.1016/j.energy.2016.03.038","http://hdl.handle.net/20.500.11850/114944","en","Elsevier",,,,"Energy scenarios||Energy system models||Ex-post analysis||Near-optimal||Optimization||Uncertainty","Does cost optimization approximate the real-world energy transition?",,"Journal Article","Metadata only",,,"2017-06-12T03:59:11Z",,"pub:176753",,"yes",,,,,,,,,,"imp59365449939cb59441","000010764","84962019758",,"000378659700018","Energy",,"Energy","106","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"193","182","Amsterdam","published",,,,,,,,,"2017-08-01T17:48:54Z","2020-02-14T16:41:47Z","true",,"ECIT",,,
"113757","20.500.11850/3","Schinko, Thomas||Komendantova, Nadejda",,,"2017-06-12T02:06:16Z","2017-06-12T02:06:16Z","2016-07",,,,,,"0960-1481||1879-0682",,"10.1016/j.renene.2016.02.009","http://hdl.handle.net/20.500.11850/113790","en","Elsevier",,,,"Concentrated solar power||North Africa||Risk perception||Risks for investment","De-risking investment into concentrated solar power in North Africa: Impacts on the costs of electricity generation",,"Journal Article","Metadata only",,,"2017-06-12T02:09:45Z",,"pub:175525",,"yes",,,,,,,,,,"imp5936542f293d716979","000582078","84958173009",,"000373421000025","Renew. Energy",,"Renewable Energy","92","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451","Received 2 July 2015, Revised 1 February 2016, Accepted 4 February 2016, Published online 18 February 2016.","272","262","Oxford","published",,,,,,,,,"2017-07-26T14:39:29Z","2021-02-14T14:02:32Z","true",,"ECIT",,,
"114303","20.500.11850/3","Baltensperger, Tobias||Füchslin, Rudolf M.||Krütli, Pius||Lygeros, John",,,"2017-06-12T02:55:45Z","2017-06-12T02:55:45Z","2016-07",,,,,,"0377-2217||1872-6860",,"10.1016/j.ejor.2016.01.032","http://hdl.handle.net/20.500.11850/114336","en","Elsevier",,,,"OR in energy||Conjectural variations||Existence and uniqueness of solutions||Natural gas market||Linear complementarity program","Multiplicity of equilibria in conjectural variations models of natural gas markets",,"Journal Article","Metadata only",,,"2017-06-12T03:02:24Z",,"pub:176115",,"yes",,,,,,,,,,"imp5936543c9295927620","000020635","84960077554",,"000372761200025","Eur. J. oper. res.","2","European Journal of Operational Research","252","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02140 - Dep. Inf.technologie und Elektrotechnik / Dep. of Inform.Technol. Electrical Eng.::02650 - Institut für Automatik / Automatic Control Laboratory::03751 - Lygeros, John / Lygeros, John||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02140 - Dep. Inf.technologie und Elektrotechnik / Dep. of Inform.Technol. Electrical Eng.::02650 - Institut für Automatik / Automatic Control Laboratory::03751 - Lygeros, John / Lygeros, John||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","03751||02351","03751||02351","Received 10 January 2015, Revised 14 January 2016, Accepted 19 January 2016, Published online 27 January 2016.","656","646","Amsterdam","published",,,,,,,,,"2017-07-12T15:43:23Z","2021-02-14T14:05:05Z","true",,"ECIT",,,
"125169","20.500.11850/3","Zabel, Astrid||Lieberherr, Eva",,,"2017-06-12T17:59:26Z","2017-06-12T17:59:26Z","2016-07",,,,,,"0036-7818||2235-1469",,"10.3188/szf.2016.0221","http://hdl.handle.net/20.500.11850/125202","de","Schweizerischer Forstverein","212780||106650",,,,"Weiterentwicklung der «Waldpolitik 2020» aus Sicht der Schweizer Waldstakeholder",,"Journal Article","Metadata only",,,"2017-06-12T17:59:30Z",,"pub:187783",,"yes",,,,,,,,,,"imp5936550c0846878446","000026980",,,,"Schweiz. Z. Forstwes.","4","Schweizerische Zeitschrift für Forstwesen","167","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","08693||09451","08693||09451",,"228","221","Zürich","published",,,,,,,,,"2017-07-12T23:18:11Z","2022-03-28T15:24:33Z","true",,"ECIT",,,
"321649","20.500.11850/3","Damerau, Kerstin||Patt, Anthony||Van Vliet, Oscar P.R.",,,"2019-11-28T15:43:56Z","2017-06-12T05:14:02Z||2019-11-28T15:43:56Z","2016-07","2016-04-23","The sufficient supply of food and energy requires large amounts of fresh water. Mainly required for irrigation, but also processing and cooling purposes, water is one of the essential resources in both sectors. Rising global population numbers and economic development could likely cause an increase in natural resource demand over the coming decades, while at the same time climate change might lead to lower overall water availability. The result could be an increased competition for water resources mainly in water-stressed regions of the world in the future. In this study we explore a set of possible changes in consumption patterns in the agricultural and energy sector that could be primarily motivated by other goals than water conservation measures—for example personal health and climate change mitigation targets, and estimate the indirect effect such trends would have on global water requirements until 2050. Looking at five world regions, we investigated three possible changes regarding future food preferences, and two possible changes in future resource preferences for electricity and transport fuels. We find that while an increase in food supply as a result of higher protein demand would lead to an increase in water demand as well, this trend could be counteracted by other potential dietary shifts such as a reduction in grains and sugars. In the energy sector we find that an increasing water demand can be limited through specific resource and technology choices, while a significant growth of first-generation biofuels would lead to a drastic rise in water demand, potentially exceeding the water requirements for food supply. Looking at the two sectors together, we conclude that an overall increase in water demand for both food and energy is not inevitable and that changes in food and energy preferences could indeed lead to an alleviation of water resource use despite rising population numbers.","application/pdf","10.3929/ethz-b-000115909",,"0959-3780||1872-9495",,"10.1016/j.gloenvcha.2016.03.014","http://hdl.handle.net/20.500.11850/115909","en","Elsevier",,"Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Water-energy-food nexus||Biofuels||Natural resource management","Water saving potentials and possible trade-offs for future food and energy supply",,"Journal Article","Open access",,,"2017-06-12T05:15:17Z",,"pub:177747",,"yes",,,,,,,,,,"imp5936545c6f0ce63817","000582241","84963944058",,"000381165100002","Glob. environ. change",,"Global Environmental Change","39","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"25","15","Amsterdam","published",,,,,,,,,"2017-07-13T14:48:43Z","2022-03-29T00:22:36Z","true",,"ECIT",,,"publishedVersion"
"115127","20.500.11850/3","Lilliestam, Johan||Hanger, Susanne",,,"2017-06-12T04:12:47Z","2017-06-12T04:12:47Z","2016-07",,,,,,"2214-6296",,"10.1016/j.erss.2016.03.011","http://hdl.handle.net/20.500.11850/115160","en","Elsevier",,,,"Decentralisation||Desertec||Renewable electricity||Visions","Shades of green: Centralisation, decentralisation and controversy among European renewable electricity visions",,"Journal Article","Metadata only",,,"2017-06-12T04:17:33Z",,"pub:176978",,"yes",,,,,,,,,,"imp5936544e1a87c80932","010152760","84962777412",,"000379436400003",,"2016","Energy Research & Social Science","17","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"29","20","Amsterdam","published",,,,,,,,,"2017-07-15T05:03:08Z","2023-02-06T13:20:26Z","true",,"ECIT",,,
"306420","20.500.11850/3","Garrett, Rachael||Carlson, Kimberly M.||Rueda, Ximena||Noojipady, Praveen",,,"2019-08-24T08:52:56Z","2019-08-21T14:00:44Z||2019-08-24T08:52:56Z","2016-07","2016-07-19",,"application/pdf","10.3929/ethz-b-000359722",,"1748-9326||1748-9318",,"10.1088/1748-9326/11/7/079502","http://hdl.handle.net/20.500.11850/359722","en","IOP Publishing",,"Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Corrigendum: Assessing the potential additionality of certification by the Round table on Responsible Soybeans and the Roundtable on Sustainable Palm Oil (2016 Environ. Res. Lett. 11 045003)",,"Journal Article","Open access",,,"2019-08-21T14:00:52Z",,,,"no",,,,,,,,,,,,,,,"Environ. Res. Lett.","7","Environmental Research Letters","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,,"079502","Bristol","published",,,,,,,"10.3929/ethz-b-000359725",,"2019-08-24T08:53:32Z","2023-02-06T17:33:03Z","true","4 p.","FORM",,,"publishedVersion"
"120622","20.500.11850/3","Komendantova, Nadejda||Battaglini, Antonella",,,"2017-06-12T12:44:02Z","2017-06-12T12:44:02Z","2016-07",,,,,,"1540-7977||1558-4216",,"10.1109/mpe.2016.2550399","http://hdl.handle.net/20.500.11850/120655","en","IEEE",,,,,"Social Challenges of Electricity Transmission: Grid Deployment in Germany, the United Kingdom, and Belgium",,"Journal Article","Metadata only",,,"2017-06-12T12:45:48Z",,"pub:182729",,"yes",,,,,,,,,,"imp593654b7b804299226","004486873",,,"000382684600008",,"4","IEEE Power and Energy Magazine","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"87","79","New York, NY","published",,,,,,,,"true","2017-07-13T12:56:28Z","2018-11-03T00:16:02Z","true",,"ECIT",,,
"306224","20.500.11850/5","le Polain de Waroux, Yann||Garrett, Rachael D.||Heilmayr, Robert||Lambin, Eric F.",,,"2019-08-22T13:46:52Z","2019-08-21T14:10:48Z||2019-08-22T13:46:52Z","2016-06-21",,,,,,"0027-8424||1091-6490",,"10.1073/pnas.1606462113","http://hdl.handle.net/20.500.11850/359732","en","National Academy of Sciences",,,,,"Reply to Levine-Schnur: Decisions to deforest illegally are influenced by fines and their perceived enforcement probability",,"Other Journal Item","Metadata only",,,"2019-08-21T14:10:56Z",,,,"no",,,,,,,,,,,,,,,"Proc Natl Acad Sci U S A","25","Proceedings of the National Academy of Sciences of the United States of America","113","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,"E3469","E3469","Washington, DC","published",,,,,,,,,"2019-08-22T13:47:03Z","2023-02-06T17:32:55Z","true",,"FORM",,,
"201231","20.500.11850/3","Bennett, Georgina L.||Roering, Joshua J.||Mackey, Benjamin H.||Handwerger, Alexander L.||Schmidt, David A.||Guillod, Benoît",,,"2017-12-06T14:13:29Z","2017-12-06T13:22:51Z||2017-12-06T14:13:29Z","2016-06-16","2016-06-01",,,,,"0094-8276||1944-8007",,"10.1002/2016gl068378","http://hdl.handle.net/20.500.11850/218340","en","Wiley-Blackwell",,,,,"Historic drought puts the brakes on earthflows in Northern California",,"Journal Article","Metadata only",,,"2017-12-06T13:22:52Z",,,,"no",,,,,,,,,,,,,,,"Geophys. Res. Lett.","11","Geophysical Research Letters","43","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,"5731","5725","Hoboken, NJ","published",,,,,,,,,"2017-12-06T14:13:33Z","2022-03-28T18:33:36Z","true",,"FORM",,,
"222264","20.500.11850/3","Patt, Anthony",,,"2018-02-28T13:16:53Z","2018-01-22T14:53:15Z||2018-02-28T13:16:53Z","2016-06-13",,,,,,"1372-7966",,,"http://hdl.handle.net/20.500.11850/232487","en","Dods Parliamentary Communications Ltd.",,,,,"Desertection – Opportunities and challenges of concentrating solar power for Europe",,"Journal Article","Metadata only",,,"2018-01-22T14:53:16Z",,,,"yes",,,,,,,,,,,,,,,,,"The Parliament Magazine","436","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"39","39","London","published",,,,,,,,,"2018-02-28T13:16:55Z","2022-03-28T19:18:05Z","true",,"FORM",,,
"126892","20.500.11850/21","Seidl, Roman||Estermann, Elias||Krütli, Pius",,,"2017-06-12T19:05:43Z","2017-06-12T19:05:43Z","2016-06-06",,,,,,,,,"http://hdl.handle.net/20.500.11850/126925","de","ETH Zürich, USYS TdLab",,,,,"Mineralischer Recyclingdünger in der Schweiz – Modul A: Akzeptanz von Phosphor aus Rückgewinnung",,"Report","Metadata only",,,"2017-06-12T19:06:12Z",,"pub:189718",,"yes",,,,,,,,,,"imp593655281dd2967602",,,"https://www.newsd.admin.ch/newsd/NSBExterneStudien/690/attachment/de/2903.pdf",,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351","Bericht im Auftrag des BLW.",,,"Zürich","published",,,,,,,,,"2017-07-15T02:24:28Z","2018-11-03T01:56:21Z","true","51 p.","ECIT",,,
"258905","20.500.11850/10","Scolobig, Anna||McCaugy, Jamie",,,"2018-10-18T08:48:16Z","2017-06-12T18:28:23Z||2018-10-18T08:45:33Z||2018-10-18T08:48:16Z","2016-06",,,,,,,,,"http://hdl.handle.net/20.500.11850/126373","en",,,,,,"The societal side of warning system and evacuation decisions",,"Other Conference Item","Metadata only",,,"2017-06-12T18:28:30Z",,"pub:189101",,"yes","Society for Risk Analysis Europe Conference 2016","June 20-22, 2016","Bath, United Kingdom",,,,,,,"imp5936551ef39b219189",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,"T4_G",,"unpublished",,,,,,,,"false","2018-10-18T08:45:37Z","2018-10-18T08:48:19Z","true",,"ECIT",,,
"109186","20.500.11850/3","Hansmann, Ralph||Kilchling, Petra||Seeland, Klaus",,,"2017-06-11T22:23:25Z","2017-06-11T22:23:25Z","2016-06",,,,,,"1873-7617||1873-7854",,"10.1007/s11842-015-9315-9","http://hdl.handle.net/20.500.11850/109219","en","Springer Netherlands",,,,"Association||Bundling||Cooperation||Economies of scale||Innovation||Wood mobilization","The Effects of Regional Forest Owner Organizations on Forest Management in the Swiss Canton of Lucerne",,"Journal Article","Metadata only",,,"2017-06-11T22:24:16Z",,"pub:170279",,"yes",,,,,,,,,,"imp593653de316da18079",,"84949660811",,"000376276300003",,"2","Small-scale Forestry","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351","Published online 12 December 2015.","177","159","Dordrecht","published",,,,,,,,,"2017-07-17T09:11:31Z","2020-02-14T16:09:59Z","true",,"ECIT",,,
"115112","20.500.11850/3","Hitziger, Martin||Heinrich, Michael||Edwards, Peter||Pöll, Elfriede||Lopez, Marissa||Krütli, Pius",,,"2017-06-12T04:11:38Z","2017-06-12T04:11:38Z","2016-06",,,,,,"0378-8741||1872-7573",,"10.1016/j.jep.2016.03.040","http://hdl.handle.net/20.500.11850/115145","en","Elsevier",,,,"Comparative research||Culture change||Guatemala||Participative research||Traditional medicine||Transdisciplinary research","Maya phytomedicine in Guatemala - Can cooperative research change ethnopharmacological paradigms?",,"Journal Article","Metadata only",,,"2017-06-12T04:17:33Z",,"pub:176963",,"yes",,,,,,,,,,"imp5936544dbf76a73094","000017977","84962857998",,"000377832000007","J Ethnopharmacol",,"Journal of ethnopharmacology","186","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich, direkt::00012 - Lehre und Forschung, direkt::00007 - Departemente, direkt::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03393 - Edwards, Peter","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich, direkt::00012 - Lehre und Forschung, direkt::00007 - Departemente, direkt::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03393 - Edwards, Peter","02351||03393","02351||03393",,"72","61","Amsterdam","published",,,,,,,,,"2017-07-13T03:30:43Z","2018-11-02T22:53:49Z","true",,"ECIT",,,
"114614","20.500.11850/3","von Wirth, Timo||Grêt-Regamey, Adrienne||Moser, Corinne||Stauffacher, Michael",,,"2017-06-12T03:24:50Z","2017-06-12T03:24:50Z","2016-06",,,,,,"0272-4944",,"10.1016/j.jenvp.2016.03.001","http://hdl.handle.net/20.500.11850/114647","en","Elsevier",,,,"City growth||People-environment relations||Perceived urban change||Place attachment","Exploring the influence of perceived urban change on residents' place attachment",,"Journal Article","Metadata only",,,"2017-06-12T03:30:51Z",,"pub:176446",,"yes",,,,,,,,,,"imp59365443157a892214","000982632","84961615430",,"000378667200007","J. Environ. Psychol.",,"Journal of Environmental Psychology","46","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02656 - Inst. f. Raum- und Landschaftsentw. / Inst Spatial and Landscape Development::03823 - Grêt-Regamey, Adrienne / Grêt-Regamey, Adrienne||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02100 - Dep. Architektur / Dep. of Architecture::02655 - Netzwerk Stadt und Landschaft D-ARCH::02226 - NSL - Netzwerk Stadt und Landschaft / NSL - Network City and Landscape||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02100 - Dep. Architektur / Dep. of Architecture::02655 - Netzwerk Stadt und Landschaft D-ARCH","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02656 - Inst. f. Raum- und Landschaftsentw. / Inst Spatial and Landscape Development::03823 - Grêt-Regamey, Adrienne / Grêt-Regamey, Adrienne","02351||03823||02226||02655","02351||03823","Received 18 August 2014, Revised 29 January 2016, Accepted 6 March 2016, Published online 15 March 2016.","82","67","Amsterdam","published",,,,,,,,,"2017-07-13T15:45:54Z","2023-02-06T13:19:20Z","true",,"ECIT",,,
