id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.researchGroup,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.patent,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isPartOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.version.deposit
"315588","20.500.11850/3","Bastin, Jean-François||Finegold, Yelena||Garcia, Claude||Mollicone, Danilo||Rezende, Marcelo||Routh, Devin||Zohner, Constantin||Crowther, Thomas W.",,,,,"2019-10-25T13:07:14Z","2019-10-25T04:59:14Z||2019-10-25T13:07:14Z","2019-10-18",,,,,"0036-8075||1095-9203",,"10.1126/science.aaz2148","http://hdl.handle.net/20.500.11850/372761","en","AAAS",,,,"Forest restoration: Transformative trees-Response","Journal Article","Metadata only",,,"2019-10-25T04:59:21Z",,,,"yes",,,,,,,,,,,,,"85073536113",,"000491290000040",,"6463","Science","366","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","08697||09625||09625","08697||09625",,"318","315","Washington, DC","published",,,,,,"true","2019-10-25T13:07:24Z","2022-03-28T23:57:45Z","true",,"SCOPUS",,
"317951","20.500.11850/3","Matthey-Doret, Cyril||van der Kooi, Casper J.||Jeffries, Daniel L.||Bast, Jens||Dennis, Alice B.||Vorburger, Christoph||Schwander, Tanja",,,,,"2019-11-08T08:29:26Z","2019-11-08T03:44:21Z||2019-11-08T08:29:26Z","2019-10-09",,"Sex determination has evolved in a variety of ways and can depend on environmental and genetic signals. A widespread form of genetic sex determination is haplodiploidy, where unfertilized, haploid eggs develop into males and fertilized diploid eggs into females. One of the molecular mechanisms underlying haplodiploidy in Hymenoptera, the large insect order comprising ants, bees, and wasps, is complementary sex determination (CSD). In species with CSD, heterozygosity at one or several loci induces female development. Here, we identify the genomic regions putatively underlying multilocus CSD in the parasitoid wasp Lysiphlebus fabarum using restriction-site associated DNA sequencing. By analyzing segregation patterns at polymorphic sites among 331 diploid males and females, we identify up to four CSD candidate regions, all on different chromosomes. None of the candidate regions feature evidence for homology with the csd gene from the honey bee, the only species in which CSD has been characterized, suggesting that CSD in L. fabarum is regulated via a novel molecular mechanism. Moreover, no homology is shared between the candidate loci, in contrast to the idea that multilocus CSD should emerge from duplications of an ancestral single-locus system. Taken together, our results suggest that the molecular mechanisms underlying CSD in Hymenoptera are not conserved between species, raising the question as to whether CSD may have evolved multiple times independently in the group.","application/pdf","10.3929/ethz-b-000376115","1759-6653",,"10.1093/gbe/evz219","http://hdl.handle.net/20.500.11850/376115","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Hymenoptera||Sex determination||Lysiphlebus fabarum||CSD","Mapping of Multiple Complementary Sex Determination Loci in a Parasitoid Wasp","Journal Article","Open access",,,"2019-11-08T03:44:28Z",,,,"yes",,,,"Symbiont-mediated coevolution in an insect host-parasitoid system","146341","10.13039/501100001711","SNF","SNF-Förderungsprofessuren: Fortsetzungsgesuche",,,,,"85074306224",,"000504448300022","Genome Biol Evol","10","Genome Biology and Evolution","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"2962","2954","London","published",,,,,,,"2020-02-15T22:23:09Z","2022-03-29T00:14:13Z","true",,"SCOPUS",,"publishedVersion"
"318443","20.500.11850/3","Salo, Tiina||Kropf, Tabea||Burdon, Francis J.||Seppälä, Otto",,,,,"2019-11-11T16:13:32Z","2019-10-09T02:27:35Z||2019-10-09T09:57:55Z||2019-11-11T16:13:32Z","2019-10","2019-09-26","The growing threat of global climate change has led to a profusion of studies examining the effects of warming on biota. Despite the potential importance of natural variability such as diurnal temperature fluctuations, most experimental studies on warming are conducted under stable temperatures. Here, we investigated whether the responses of an aquatic invertebrate grazer (Lymnaea stagnalis) to an increased average temperature differ when the thermal regime is either constant or fluctuates diurnally. Using thermal response curves for several life‐history and immune defense traits, we first identified the optimum and near‐critically high temperatures that Lymnaea potentially experience during summer heat waves. We then exposed individuals that originated from three different populations to these two temperatures under constant or fluctuating thermal conditions. After 7 days, we assessed growth, reproduction, and two immune parameters (phenoloxidase‐like activity and antibacterial activity of hemolymph) from each individual. Exposure to the near‐critically high temperature led to increased growth rates and decreased antibacterial activity of hemolymph compared to the optimum temperature, whilst temperature fluctuations had no effect on these traits. The results indicate that the temperature level per se, rather than the variability in temperature was the main driver altering trait responses in our study species. Forecasting responses in temperature‐related responses remains challenging, due to system‐specific properties that can include intraspecific variation. However, our study indicates that experiments examining the effects of warming using constant temperatures can give similar predictions as studies with fluctuating thermal dynamics, and may thus be useful indicators of responses in nature.","application/pdf","10.3929/ethz-b-000369338","2045-7758",,"10.1002/ece3.5666","http://hdl.handle.net/20.500.11850/369338","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Fluctuating temperature||Invertebrate||Population","Diurnal variation around an optimum and near-critically high temperature does not alter the performance of an ectothermic aquatic grazer","Journal Article","Open access",,,"2019-10-09T02:27:40Z",,,,"yes",,,,,,,,,,,,,"85073990405",,"000487784400001","Ecol Evol","20","Ecology and Evolution","9","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"11706","11695","Oxford","published",,,,,,,"2020-02-15T22:29:44Z","2021-02-15T06:40:23Z","true",,"WOS",,"publishedVersion"
"331736","20.500.11850/3","Enache, Ioana||Florescu, Larisa Isabela||Moldoveanu, Mirela||Moza, Maria Iasmina||Parpală, Laura||Sandu, Cristina||Sandu, Cristina||Rîşnoveanu, Geta||Spaak, Piet",,,,,"2020-01-24T10:10:58Z","2020-01-22T11:01:20Z||2020-01-24T10:10:58Z","2019-10","2019-08-02",,,,"0018-8158||1573-5117",,"10.1007/s10750-019-04025-y","http://hdl.handle.net/20.500.11850/393021","en","Springer",,,"Sediment||FluoroProbe||Ephippia||Food abundance||Cladocera","Diversity and distribution of Daphnia across space and time in Danube Delta lakes explained by food quality and abundance","Journal Article","Metadata only",,,"2020-01-22T11:01:27Z",,,,"yes",,,,,,,,,,,,,,,,"Hydrobiologia","1","Hydrobiologia","842","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"54","39","Dordrecht","published",,,,,,,"2020-01-24T10:11:09Z","2021-02-15T07:38:05Z","true",,"BATCH",,
"311687","20.500.11850/3","Baho, Didier L.||Leu, Eva||Pomati, Francesco||Hessen, Dag O.||Norberg, Jon||Moe, S. Jannicke||Skjelbred, Birger||Nizzetto, Luca",,,,,"2019-10-01T09:02:18Z","2019-09-30T17:31:39Z||2019-10-01T09:02:18Z","2019-10","2019-07-25","Freshwaters are increasingly exposed to complex mixtures of pharmaceutical and personal care products (PPCPs) from municipal wastewater, which are known to alter freshwater communities’ structure and functioning. However, their interaction with other disturbances and whether their combined effects can impact ecological resilience (i.e., the ability of a system to tolerate disturbances without altering the system's original structure and processes) remain unexplored. Using in situ mesocosms in 2 lakes with different nutrient levels (mesotrophic and eutrophic), we assessed whether a pulse exposure to sublethal concentrations of 12 PPCPs affects the ecological resilience of natural phytoplankton communities that experienced an abrupt environmental change involving the destabilization of the water column through mixing. Such mixing events are predicted to increase as the effects of climate change unfold, leading to more frequent storms, which disrupt stratification in lakes and force communities to restructure. We assessed their combined effects on community metrics (biomass, species richness, and composition) and their relative resilience using 4 indicators (cross‐scale, within‐scale, aggregation length, and gap length), inferred from phytoplankton communities by discontinuity analysis. The mixing disturbance alone had negligible effects on the community metrics, but when combined with chemical contaminants significant changes were measured: reducing total biomass, species richness, and altered community composition of phytoplankton. Once these changes occurred, they persisted until the end of the experiment (day 20), when the communities’ structures from the 2 highest exposure levels diverged from the controls. The resilience indicators were not affected by PPCPs but differed significantly between lakes, with lower resilience found in the eutrophic lake. Thus, PPCPs can significantly alter community structures and reinforce mechanisms that maintain ecosystems in a “degraded state.” Environ Toxicol Chem 2019;38:2197–2208. © 2019 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals, Inc. on behalf of SETAC.","application/pdf","10.3929/ethz-b-000367397","0277-2248||1029-0486||0092-9867",,"10.1002/etc.4536","http://hdl.handle.net/20.500.11850/367397","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Pharmaceuticals and personal care products||Climate change||Eutrophication||Phytoplankton||Ecological resilience","Resilience of Natural Phytoplankton Communities to Pulse Disturbances from Micropollutant Exposure and Vertical Mixing","Journal Article","Open access",,,"2019-09-30T17:31:51Z",,,,"yes",,,,,,,,,,,,,"85072627566",,"000486765900001",,"10","Environmental Toxicology and Chemistry","38","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"2208","2197","Hoboken, NJ","published",,,,,,,"2019-10-01T09:02:32Z","2021-02-15T06:05:01Z","true",,"SCOPUS",,"publishedVersion"
"314668","20.500.11850/3","Treindl, Artemis D.||Leuchtmann, Adrian",,,,,"2019-10-18T13:09:58Z","2019-10-18T09:34:50Z||2019-10-18T13:09:58Z","2019-10",,,,,"1664-2201||1664-221X",,"10.1007/s00035-019-00218-2","http://hdl.handle.net/20.500.11850/371435","en","Springer",,,"Ectomycorrhiza||Host shift||Boletus edulis||Salix herbacea||Swiss Alps","A king amongst dwarfs: Boletus edulis forms ectomycorrhiza with dwarf willow in the Swiss Alps","Journal Article","Metadata only",,,"2019-10-18T09:34:56Z",,,,"yes",,,,,,,,,,,,,"85067256382",,"000488930900010","Alp. bot.","2","Alpine Botany","129","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08670 - Gruppe Biosystematik und Sammlungen","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08670 - Gruppe Biosystematik und Sammlungen","03706||08670","03706||08670",,"189","185","Heidelberg","published",,,,,,,"2019-10-18T13:10:08Z","2020-02-15T22:07:12Z","true",,"WOS",,
"309369","20.500.11850/3","Skúlason, Skúli||Parsons, Kevin J.||Svanbäck, Richard||Räsänen, Katja||Ferguson, Moira M.||Adams, Colin E.||Amundsen, Per‐Arne||Bartels, Pia||Bean, Colin W.||Boughman, Janette W.||Englund, Göran||Guðbrandsson, Johannes||Hooker, Oliver E.||Hudson, Alan G.||Kahilainen, Kimmo K.||Knudsen, Rune||Kristjánsson, Bjarni K.||Leblanc, Camille A.‐L.||Jónsson, Zophonías||Öhlund, Gunnar||Smith, Carl||Snorrason, Sigurður S.",,,,,"2019-09-16T12:08:47Z","2019-09-15T02:35:40Z||2019-09-16T12:08:47Z","2019-10","2019-06-19","A major goal of evolutionary science is to understand how biological diversity is generated and altered. Despite considerable advances, we still have limited insight into how phenotypic variation arises and is sorted by natural selection. Here we argue that an integrated view, which merges ecology, evolution and developmental biology (eco evo devo) on an equal footing, is needed to understand the multifaceted role of the environment in simultaneously determining the development of the phenotype and the nature of the selective environment, and how organisms in turn affect the environment through eco evo and eco devo feedbacks. To illustrate the usefulness of an integrated eco evo devo perspective, we connect it with the theory of resource polymorphism (i.e. the phenotypic and genetic diversification that occurs in response to variation in available resources). In so doing, we highlight fishes from recently glaciated freshwater systems as exceptionally well‐suited model systems for testing predictions of an eco evo devo framework in studies of diversification. Studies on these fishes show that intraspecific diversity can evolve rapidly, and that this process is jointly facilitated by (i) the availability of diverse environments promoting divergent natural selection; (ii) dynamic developmental processes sensitive to environmental and genetic signals; and (iii) eco evo and eco devo feedbacks influencing the selective and developmental environments of the phenotype. We highlight empirical examples and present a conceptual model for the generation of resource polymorphism – emphasizing eco evo devo, and identify current gaps in knowledge.","application/pdf","10.3929/ethz-b-000364118","1469-185X||1464-7931||0006-3231",,"10.1111/brv.12534","http://hdl.handle.net/20.500.11850/364118","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","divergent evolution||epigenetics||genetics||niche construction||non‐genetic inheritance||phenotype||phenotypic plasticity||natural selection||polymorphic fishes||speciation","A way forward with eco evo devo: an extended theory of resource polymorphism with postglacial fishes as model systems","Journal Article","Open access",,,"2019-09-15T02:35:50Z",,,,"yes",,,,,,,,,,,,,"85067462518",,,"Biol Rev,","5","Biological Reviews","94","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"1808","1786","Oxford","published",,,,,,,"2019-09-16T12:09:12Z","2022-03-28T23:38:31Z","true",,"SCOPUS",,"publishedVersion"
"411846","20.500.11850/3","Narwani, Anita||Reyes, Marta||Pereira, Aaron Louis||Penson, Hannele||Dennis, Stuart R.||Derrer, Samuel||Spaak, Piet||Matthews, Blake",,,,,"2021-07-23T06:04:48Z","2020-01-22T10:59:15Z||2020-01-22T14:13:02Z||2021-07-23T06:04:48Z","2019-10","2019-10-16",,,,"0080-4649||0950-1193||1471-2954||0962-8452",,"10.1098/rspb.2019.1857","http://hdl.handle.net/20.500.11850/393007","en","The Royal Society",,,"Foundation species||Community structure||Stability||Dominance||Trait evenness","Interactive effects of foundation species on ecosystem functioning and stability in response to disturbance","Journal Article","Metadata only",,,"2020-01-22T10:59:22Z",,,,"yes",,,,,,,,,,,,,,,,"Proc R Soc Lond B Biol Sci","1913","Proceedings of the Royal Society B: Biological Sciences","286","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,"20191857","London",,,,,,,,"2020-01-22T14:13:12Z","2023-02-06T22:15:52Z","true","10 p.","BATCH",,
"328228","20.500.11850/3","Tucker, Caroline M.||Aze, Tracy||Cadotte, Marc W.||Cantalapiedra, Juan L.||Chisholm, Chelsea||Díaz, Sandra||Grenyer, Richard||Huang, Danwei||Pearse, William D.||Pennell, Matthew W.||Winter, Marten||Mooers, Arne O.",,,,,"2020-01-13T09:15:56Z","2020-01-10T14:35:26Z||2020-01-13T09:15:56Z","2019-10","2019-05-31","It is often claimed that conserving evolutionary history is more efficient than species‐based approaches for capturing the attributes of biodiversity that benefit people. This claim underpins academic analyses and recommendations about the distribution and prioritization of species and areas for conservation, but evolutionary history is rarely considered in practical conservation activities. One impediment to implementation is that arguments related to the human‐centric benefits of evolutionary history are often vague and the underlying mechanisms poorly explored. Herein we identify the arguments linking the prioritization of evolutionary history with benefits to people, and for each we explicate the purported mechanism, and evaluate its theoretical and empirical support. We find that, even after 25 years of academic research, the strength of evidence linking evolutionary history to human benefits is still fragile.  Most – but not all – arguments rely on the assumption that evolutionary history is a useful surrogate for phenotypic diversity. This surrogacy relationship in turn underlies additional arguments, particularly that, by capturing more phenotypic diversity, evolutionary history will preserve greater ecosystem functioning, capture more of the natural variety that humans prefer, and allow the maintenance of future benefits to humans. A surrogate relationship between evolutionary history and phenotypic diversity appears reasonable given theoretical and empirical results, but the strength of this relationship varies greatly. To the extent that evolutionary history captures unmeasured phenotypic diversity, maximizing the representation of evolutionary history should capture variation in species characteristics that are otherwise unknown, supporting some of the existing arguments. However, there is great variation in the strength and availability of evidence for benefits associated with protecting phenotypic diversity. There are many studies finding positive biodiversity–ecosystem functioning relationships, but little work exists on the maintenance of future benefits or the degree to which humans prefer sets of species with high phenotypic diversity or evolutionary history. Although several arguments link the protection of evolutionary history directly with the reduction of extinction rates, and with the production of relatively greater future biodiversity via increased adaptation or diversification, there are few direct tests. Several of these putative benefits have mismatches between the relevant spatial scales for conservation actions and the spatial scales at which benefits to humans are realized. It will be important for future work to fill in some of these gaps through direct tests of the arguments we define here.","application/pdf","10.3929/ethz-b-000389373","1469-185X||1464-7931||0006-3231",,"10.1111/brv.12526","http://hdl.handle.net/20.500.11850/389373","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Phylogenetic diversity||Conservation||Prioritization||Phenotypic diversity||Ecosystem function||Extinction||Functional diversity||Benefits to people","Assessing the utility of conserving evolutionary history","Journal Article","Open access",,,"2020-01-10T14:35:35Z",,,,"no",,,,,,,,,,,,,,,,"Biol Rev,","5","Biological Reviews","94","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","09666","09666",,"1760","1740","Oxford","published",,,,,,,"2020-01-13T09:16:08Z","2023-02-06T18:10:44Z","true",,"BATCH",,"publishedVersion"
"314686","20.500.11850/3","Liberati, Loïc||Messerli, Swanee||Matteodo, Magali||Vittoz, Pascal",,,,,"2019-10-18T13:59:04Z","2019-10-18T09:35:28Z||2019-10-18T13:59:04Z","2019-10","2019-09-04",,,,"1664-2201||1664-221X",,"10.1007/s00035-019-00223-5","http://hdl.handle.net/20.500.11850/371439","en","Springer",,,"Salicion herbaceae||Elynion||Snow cover||Temperature||Quasi-permanent plots||Vegetation dynamics||Switzerland","Contrasting impacts of climate change on the vegetation of windy ridges and snowbeds in the Swiss Alps","Journal Article","Metadata only",,,"2019-10-18T09:35:34Z",,,,"yes",,,,,,,,,,,,,"85072181215",,"000488930900003","Alp. bot.","2","Alpine Botany","129","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","09666","09666",,"105","95","Heidelberg","published",,,,,,,"2019-10-18T13:59:17Z","2023-02-06T17:45:48Z","true",,"WOS",,
"311339","20.500.11850/3","Guisan, Antoine||Mod, Heidi K.||Scherrer, Daniel||Münkemüller, Tamara||Pottier, Julien||Alexander, Jake M.||D'Amen, Manuela",,,,,"2019-09-27T14:32:47Z","2019-09-20T12:55:23Z||2019-09-20T13:19:01Z||2019-09-27T14:32:47Z","2019-10","2019-07-10","Issue Approaches to predicting species assemblages through stacking individual niche‐based species distribution models (S‐SDMs) need to account for community processes other than abiotic filtering. Such constraints have been introduced by implementing ecological assembly rules (EARs) into S‐SDMs, and can be based on patterns of functional traits in communities. Despite being logically valid, this approach has led to a limited improvement in prediction, possibly because of mismatches between the scales of measurement of niche and trait data.  Evidence S‐SDM studies have often related single values of a species’ traits to environmental niches that are captured by abiotic conditions measured at a much finer spatial scale, without accounting for intraspecific trait variation along environmental gradients. Many pieces of evidence show that omitting intraspecific trait variation can hinder the proper inference of EARs from trait patterns, and we further argue that it can therefore also affect our capacity to spatially predict functional properties of communities. In addition, estimates of environmental niches and trait envelopes may vary depending on the scale at which environmental and trait measurements are made.  Conclusion We suggest that to overcome these limitations, surveys sampling both niche and trait measurements should be conducted at fine scales along wide environmental gradients, and integrated at the same scale to test and improve a new generation of spatial community models and their functional properties.","application/pdf","10.3929/ethz-b-000365577","1466-822X||1466-8238",,"10.1111/geb.12967","http://hdl.handle.net/20.500.11850/365577","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Eecological assembly rules||Environmental gradients||Fine‐scale sampling||Microhabitat||Multivariate envelope||Stacked species distribution models","Scaling the linkage between environmental niches and functional traits for improved spatial predictions of biological communities","Journal Article","Open access",,,"2019-09-20T12:55:32Z",,,,"yes",,,,"Novel`interactions and species’ responses to climate change","678841","10.13039/501100000780","EC","H2020",,,,,"85068914287",,,"Glob. Ecol. Biogeogr.","10","Global Ecology and Biogeography","28","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03909 - Levine, Jonathan M. (ehemalig) / Levine, Jonathan M. (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","09666||03909","09666",,"192","1384","Oxford","published",,,,,,,"2019-09-27T14:33:02Z","2023-02-06T17:41:45Z","true",,"FORM",,"publishedVersion"
