id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.projectLeader,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.arxiv,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.compiles,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isCompiledBy,ethz.relation.isPartOf,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"445428","20.500.11850/4","Meemken, Eva-Marie||Barrett, Christopher B.||Michelson, Hope C.||Qaim, Matin||Reardon, Thomas||Sellare, Jorge",,,,,"2022-03-29T07:36:11Z","2022-03-28T07:28:32Z||2022-03-29T07:36:11Z","2021-10","2021-09-02","Agrifood supply chains contribute to many environmental and social problems. Sustainability standards—rules that supply chain actors may follow to demonstrate their commitment to social equity and/or environmental protection—aim to mitigate such problems. We provide a narrative review of the effects of many distinct sustainability standards on different supply chain actors spanning multiple crops. Furthermore, we discuss five emerging questions—causality, exclusion, compliance and monitoring, excess supply and emerging country markets—and identify directions for future research. We find that, while sustainability standards can help improve the sustainability of production processes in certain situations, they are insufficient to ensure food system sustainability at scale, nor do they advance equity objectives in agrifood supply chains.",,,,"2662-1355",,"10.1038/s43016-021-00360-3","http://hdl.handle.net/20.500.11850/539538","en","Nature",,,,"Sustainability standards in global agrifood supply chains",,"Review Article","Metadata only",,,,"2022-03-28T07:28:38Z",,,,"no",,,,,,,,,,,,,,,,"Nat Food","10","Nature Food","2","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09766 - Meemken, Eva-Marie / Meemken, Eva-Marie",,"09766",,,"765","758","London","published",,,,,,,,,,"true","2022-03-29T07:36:19Z","2023-02-07T00:35:03Z","true",,"FORM",,,
"418510","20.500.11850/3","Schar, Daniel||Zhao, Cheng||Wang, Yu||Larsson, D.G. Joakim||Gilbert, Marius||Van Boeckel, Thomas P.",,,,,"2021-09-20T07:29:49Z","2021-09-20T02:59:14Z||2021-09-20T07:29:49Z","2021-09-10",,"Antimicrobial resistance (AMR) is a growing threat to human and animal health. However, in aquatic animals—the fastest growing food animal sector globally—AMR trends are seldom documented, particularly in Asia, which contributes two-thirds of global food fish production. Here, we present a systematic review and meta-analysis of 749 point prevalence surveys reporting antibiotic-resistant bacteria from aquatic food animals in Asia, extracted from 343 articles published in 2000–2019. We find concerning levels of resistance to medically important antimicrobials in foodborne pathogens. In aquaculture, the percentage of antimicrobial compounds per survey with resistance exceeding 50% (P50) plateaued at 33% [95% confidence interval (CI) 28 to 37%] between 2000 and 2018. In fisheries, P50 decreased from 52% [95% CI 39 to 65%] to 22% [95% CI 14 to 30%]. We map AMR at 10-kilometer resolution, finding resistance hotspots along Asia’s major river systems and coastal waters of China and India. Regions benefitting most from future surveillance efforts are eastern China and India. Scaling up surveillance to strengthen epidemiological evidence on AMR and inform aquaculture and fisheries interventions is needed to mitigate the impact of AMR globally.","application/pdf","10.3929/ethz-b-000506013",,"2041-1723",,"10.1038/s41467-021-25655-8","http://hdl.handle.net/20.500.11850/506013","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Antimicrobial resistance||Fisheries||Microbial biooceanography||Policy and public health in microbiology","Twenty-year trends in antimicrobial resistance from aquaculture and fisheries in Asia",,"Journal Article","Open access",,,,"2021-09-20T02:59:19Z",,,,"yes",,,,,,,,,,,,,"85114886083",,"000695492800016","Nat Commun","1","Nature Communications","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","09673","09673",,,"5384","London","published",,,,,,,,,,,"2021-09-20T07:30:11Z","2023-02-06T22:34:47Z","true","10 p.","SCOPUS",,"publishedVersion",
"418143","20.500.11850/28","Späth, Leonhard||Pärli, Rea",,,,,"2021-09-15T09:59:47Z","2021-09-10T07:43:01Z||2021-09-14T15:40:42Z||2021-09-15T09:59:47Z","2021-09-09",,,,,,,,,"http://hdl.handle.net/20.500.11850/505105","en","Australian National University",,,,"How can social network analysis benefit transdisciplinary research?",,"Other Publication","Metadata only",,,,"2021-09-10T07:43:10Z",,,,"yes",,,,,,,,,,,,,,"https://i2insights.org/2021/09/09/social-network-analysis-for-transdisciplinarity/",,,,"i2Insights Blog",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||::ETH Zürich::00009 - ETH-nahe Einheiten","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693||02351||00009","02351||08693",,,,"Acton","published",,,,,,,,,,,"2021-09-15T09:59:54Z","2022-03-29T11:55:22Z","true",,"FORM",,,
"411838","20.500.11850/3","Bhagavathula, Susila||Brundiers, Katja||Stauffacher, Michael||Kay, Braden",,,,,"2021-07-23T06:03:01Z","2021-07-10T05:25:18Z||2021-07-23T06:03:01Z","2021-09","2021-06-23","Cities are challenged by climate change, natural and technological disasters and related injustices. At least three fields address these challenges within cities: sustainability, emergency management and resilience. However, these three fields often still work in silos, separated by administrative structures. One way to promote a synergistic and integrative city-level approach across the three fields is through actively fostering collaboration. This can be facilitated through a competency-based capacity building program. So far, only few capacity building programs attempted to foster collaboration across departments and fields. To address this gap the researchers collaborated with the City of Tempe, Arizona, USA to implement a program that addresses the respective sets of competencies and concepts in these fields. The question was asked how these competency sets and concepts can be integrated into one capacity building program to support collaboration across departments. The focus was on emergency management and sustainability competencies respectively, as a literature review revealed paucity of a resilience competency framework. Three capacity building trainings were implemented and competency development was evaluated using a pre-post survey and analysis of training interactions. The results show that: i) overall collaboration across departments was facilitated; ii) participants demonstrated sustainability and emergency management competencies in at least one of the three trainings, iii) participants were satisfied with the trainings individually and combined into one training program. The work concludes with recommendations to increase the development of collaborative competencies and to foster collaboration in practice in the long-term as part of “institutional work” in order to influence administrative structures as well.","application/pdf","10.3929/ethz-b-000493871",,"2212-4209",,"10.1016/j.ijdrr.2021.102408","http://hdl.handle.net/20.500.11850/493871","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/",,"Fostering collaboration in city governments’ sustainability, emergency management and resilience work through competency-based capacity building",,"Journal Article","Open access",,,,"2021-07-10T05:25:26Z",,,,"yes",,,,,,,,,,,,,"85109048324",,"000688621100003",,,"International Journal of Disaster Risk Reduction","63","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02350||02351","02351",,,"102408","Amsterdam","published",,,,,,,,,,,"2021-07-23T06:03:06Z","2022-03-29T10:36:36Z","true","15 p.","SCOPUS",,"publishedVersion",
"421582","20.500.11850/3","Behr, Whitney M.||Gerya, Taras V.||Cannizzaro, Claudio||Blass, Robert",,,,,"2021-10-15T11:42:54Z","2021-10-09T02:43:15Z||2021-10-15T11:42:54Z","2021-09","2021-09-13","The deep roots of subduction megathrusts exhibit aseismic slow slip events, commonly accompanied by tectonic tremor. Observations from exhumed rocks suggest this region of the subduction interface is a shear zone with frictional lenses embedded in a viscous matrix. Here, we use numerical models to explore the transient slip characteristics of finite-width frictional-viscous megathrust shear zones. Our model utilizes an invariant, continuum-based, regularized form of rate- and state-dependent friction (RSF) and simulates earthquakes along spontaneously evolving faults embedded in a 2D heterogeneous continuum. The setup includes two elastic plates bounding a viscoelastoplastic shear zone (subduction interface melange) with inclusions (clasts) of varying distributions and viscosity contrasts with respect to the surrounding weaker matrix. The entire shear zone exhibits the same velocity-weakening RSF parameters, but the lower viscosity matrix has the capacity to switch between RSF and viscous creep as a function of local stress state. Results demonstrate a mechanism in which stress heterogeneity in these shear zones both (a) sets the “speed limit” for earthquake ruptures that nucleate in clasts such that they propagate at slow velocities; and (b) permits the transmission of slow slip from clast to clast, allowing slow ruptures to propagate substantial distances over the model domain. For reasonable input parameters, modeled events have moment-duration statistics, stress drops, and rupture propagation rates that overlap with some natural slow slip events. These results provide new insights into how geologic observations from ancient analogs of the slow slip source may scale up to match geophysical constraints on modern slow slip phenomena.","application/pdf","10.3929/ethz-b-000508855",,"2576-604X",,"10.1029/2021AV000416","http://hdl.handle.net/20.500.11850/508855","en","American Geophysical Union","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","subduction megathrust||frictional-viscous transition||episodic tremor and slow slip||slow slip events||heterogeneous melange||subduction interface","Transient Slow Slip Characteristics of Frictional-Viscous Subduction Megathrust Shear Zones",,"Journal Article","Open access",,,,"2021-10-09T02:43:46Z",,,,"yes",,,,"Influence of plate tectonics on life evolution and biodiversity: bio-geodynamical numerical modeling approach","192296","10.13039/501100001711","SNF","Projekte MINT",,,,,,,"000702380000003",,"3","AGU Advances","2","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02704 - Geologisches Institut / Geological Institute::09636 - Behr, Whitney / Behr, Whitney||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02506 - Institut für Geophysik / Institute of Geophysics::03698 - Tackley, Paul / Tackley, Paul","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02704 - Geologisches Institut / Geological Institute::09636 - Behr, Whitney / Behr, Whitney||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02506 - Institut für Geophysik / Institute of Geophysics::03698 - Tackley, Paul / Tackley, Paul","09576||09636||03698","09576||09636||03698",,,"e2021AV000416","Washington, DC","published",,,,,,,,,,,"2021-10-15T11:43:02Z","2022-03-29T14:16:49Z","true","26 p.","WOS",,"publishedVersion",
"417314","20.500.11850/3","von Rothkirch, Juanita||Ejderyan, Olivier",,,,,"2021-09-07T07:52:24Z","2021-07-28T03:14:19Z||2021-09-07T07:52:24Z","2021-09","2021-07-16","Understanding the factors influencing the acceptance of carbon capture and storage (CCS) projects is key for the projects’ deployment and for accelerating the global mitigation of CO2 emissions. While anticipating the ways in which “places” can potentially affect a technology's deployment is relevant to mitigating social risks, social aspects are often omitted or included late in site selection processes. Here, we present a methodology to include place factors upstream in the site-screening process based on a literature review of former CCS implementation processes and maps of potential locations. We identified the place factors that had been determinative for the acceptance of or opposition to 38 CCS projects. Then, the usability of geographic information system (GIS) maps to represent social factors around potential storage sites in Switzerland was assessed. Our results show that place factors have positively influenced 22 and negatively impacted 16 projects in the past. In addition, it is possible to visualize several factors around potential CO2 storage locations, while unmappable factors must be explored at later stages. We conclude that awareness of place factors coupled with reflection on the values pushed by the technology will likely enable better site choices.","application/pdf","10.3929/ethz-b-000497956",,"1750-5836||1878-0148",,"10.1016/j.ijggc.2021.103399","http://hdl.handle.net/20.500.11850/497956","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Place factors||Social site characterisation||GIS||Siting||Public engagement","Anticipating the social fit of CCS projects by looking at place factors",,"Journal Article","Open access",,,,"2021-07-28T03:14:22Z",,,,"yes",,,,,,,,,,,,,"85110273144",,"000696710200003",,,"International Journal of Greenhouse Gas Control","110","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,"103399","Amsterdam","published",,,,,,,,,,,"2021-09-07T07:52:32Z","2022-03-29T11:32:01Z","true","18 p.","SCOPUS",,"publishedVersion",
"445434","20.500.11850/3","Meemken, Eva-Marie",,,,,"2022-03-29T08:07:03Z","2022-03-28T07:33:47Z||2022-03-29T08:07:03Z","2021-09","2021-05-06","Do sustainability standards improve socioeconomic conditions and environmental performance among participant farms? While numerous studies have addressed this question, results are mixed, and the external and internal validity of the available evidence is limited. Moreover, the extant literature has mainly focused on smallholder farms. Our contribution is twofold. First, this is the first paper to use nationally representative panel data to explore the proliferation and implications of sustainability certification. Second, we consider both small (family-operated) and large (agro-industrial) farms. We use data from Peru’s National Agricultural Survey and panel and pseudo panel methods. In terms of outcome variables, we focus on annual farm income and farm practices. Although sustainability standards rhetorically emphasize small farms, we find that certification is much more common among large farms than among small farms. Further, certified farms are geographically clustered, which confirms previous findings. Results also show that certification is associated with higher farm incomes and changes in farm practices among large but not among small farms. These differences are not attributable to farm size alone but likely associated with other characteristics of large farms such as crop choices and type of standard. We conclude that the importance and potential of certification in the large farm sector have been underappreciated and should receive more scientific attention in the future.",,,,"0305-750X",,"10.1016/j.worlddev.2021.105520","http://hdl.handle.net/20.500.11850/539541","en","Elsevier",,,"Sustainability standards||Certification||Fairtrade||Organic||GlobalGAP","Large farms, large benefits? Sustainability certification among family farms and agro-industrial producers in Peru",,"Journal Article","Metadata only",,,,"2022-03-28T07:33:52Z",,,,"no",,,,,,,,,,,,,,,,,,"World Development","145","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09766 - Meemken, Eva-Marie / Meemken, Eva-Marie",,"09766",,,,"105520","Amsterdam","published",,,,,,,,,,,"2022-03-29T08:07:18Z","2022-03-29T08:07:18Z","true","12 p.","FORM",,,
"441128","20.500.11850/3","Virla, Luis D.||van de Ven, Dirk-Jan||Sampedro, Jon||van Vliet, Oscar||Smith, Alistair||Pollitt, Hector||Lieu, Jenny",,,,,"2022-02-24T12:38:28Z","2022-02-24T12:38:28Z","2021-09","2021-11-05","Local perspectives can conflict with national and international climate targets. This study explores three stakeholder (community, provincial, and federal) perspectives on the Alberta oil sands as risks for a sustainability transition in Canada. In an ex-post analysis, we compared outputs from stakeholder consultations and energy-economy models. Our research shows that different local stakeholders groups disregarded some policy risks for the Alberta oil sands and Canadian energy transition. These stakeholders expected the sector to grow, despite increasing environmental penalties and external market pressures. The study revealed that blind-spots on risks, or “risk blindness”, increased as stakeholders became less certain about policy climate goals. We argue that “risk blindness” could be amplified by dominant institutional narratives that contradict scientific research and international climate policy. Strategies that integrate local narratives, considered as marginalized, provide perspectives beyond emission reductions and are essential for meeting climate targets while supporting a just transition.","application/pdf","10.3929/ethz-b-000515036",,"2210-4224","http://hdl.handle.net/20.500.11850/301434||http://hdl.handle.net/20.500.11850/515036","10.1016/j.eist.2021.10.008","http://hdl.handle.net/20.500.11850/534019","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Energy transition||Risk and uncertainties||Risk blindness||Ggreenhouse gas emissions||Oil sands||Stranded assets","Risk blindness in local perspectives about the Alberta oil sands hinders Canada's decarbonization",,"Journal Article","Open access",,,,"2021-11-13T08:09:25Z",,,,"yes",,,,,,,,,,,,,"85118593842",,"000718147500005",,,"Environmental Innovation and Societal Transitions","40","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"585","569","Amsterdam","published",,,,,,,,,,,"2022-02-24T12:38:37Z","2022-03-29T19:59:03Z","true",,"FORM||SCOPUS",,"publishedVersion",
"420248","20.500.11850/19","Schmid, Yuri",,,,"Bresch, David N.||Buchecker, Matthias||Ertl, Theresa","2021-10-06T06:17:08Z","2021-10-01T12:14:58Z||2021-10-05T07:17:11Z||2021-10-05T08:35:19Z||2021-10-06T06:17:08Z","2021-09",,"Szenarien sind ein beliebtes Mittel zur Exploration möglicher Zukünfte und der Veranschaulichung der Auswirkungen von heutigem Handeln über einen langfristigen Zeithorizont. Durch Partizipation von Expert/innen und Stakeholder/innen in der Szenarienkonstruktion kann sowohl die Qualität von sozio-ökonomischen Szenarien verbessert, als auch soziales Lernen gefördert werden. Partizipative Szenarienplanung (PSP) erlebt deshalb einen Aufschwung als planerische Methode. In der vorliegenden Arbeit wird in fünf Expert/innen-Interviews untersucht, wie PSP in der Schweiz bereits eingesetzt wird oder eingesetzt werden kann. Zu PSP ist eine Vielzahl an Methoden in der Literatur zu finden, weshalb ein möglicher Ansatz genauer diskutiert wird. Die Ergebnisse dieser Arbeit lassen darauf schliessen, dass PSP auf regionaler Ebene grosses Potential hat. PSP kann den Rahmen für wissenschaftlich fundierte Anpassungsprozesse bieten. Es wird diskutiert, wie verschiedene Wertehaltungen auf die PSP einwirken, diese aber auch systematisch in die Szenarien eingebaut und darin repräsentiert werden können. Es wird hervorgehoben, was ein PSP-Prozess ausmacht, der für alle Beteiligten interessant, lehrreich und nützlich ist damit die Resultate der PSP auch in politische und wissenschaftliche Folgeprozesse eingegliedert werden können.","application/pdf","10.3929/ethz-b-000507919",,,,,"http://hdl.handle.net/20.500.11850/507919","de","ETH Zürich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Partizipative Szenarienplanung als Strategie zur Anpassung an den Klimawandel",,"Bachelor Thesis","Open access",,,,"2021-10-01T12:15:04Z",,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,,"Zürich","published",,,,,,,,,,,"2021-10-06T06:17:17Z","2021-10-06T06:17:17Z","true","77 S.","FORM",,,
"416820","20.500.11850/4","Huber, Laura||Agunos, Agnes||Gow, Sheryl P.||Carson, Carolee A.||Van Boeckel, Thomas P.",,,,,"2021-09-03T07:34:21Z","2021-09-01T02:54:53Z||2021-09-03T07:34:21Z","2021-09","2021-08-08","Antimicrobial use contributes to the global rise of antimicrobial resistance (AMR). In 2014, the poultry industry in Canada initiated its Antimicrobial Use Reduction Strategy to mitigate AMR in the poultry sector. We monitored trends in antimicrobial use and AMR of foodborne bacteria (Salmonella, Escherichia coli, and Campylobacter) in broiler chickens during 2013 and 2019. We quantified the effect of antimicrobial use and management factors on AMR by using LASSO regression and generalized mixed-effect models. AMR in broiler chickens declined by 6%-38% after the decrease in prophylactic antimicrobial use. However, the withdrawal of individual compounds, such as cephalosporins and fluoroquinolones, prompted an increase in use of and resistance levels for other drug classes, such as aminoglycosides. Canada's experience with antimicrobial use reduction illustrates the potential for progressive transitions from conventional antimicrobial-dependent broiler production to more sustainable production with respect to antimicrobial use.",,,,"1080-6059",,"10.3201/eid2709.204395","http://hdl.handle.net/20.500.11850/503355","en","Centers for Disease Control and Prevention",,,,"Reduction in antimicrobial use and resistance to salmonella, campylobacter, and escherichia coli in broiler chickens, Canada, 2013–2019",,"Review Article","Metadata only",,,,"2021-09-01T02:54:57Z",,,,"yes",,,,"Global Policies for Antimicrobial Resistance in Animals||Piloting on-site interventions for reducing antimicrobial use in livestock farming in emerging economies","181248||180179","10.13039/501100001711||10.13039/501100001711","SNF||SNF","Eccellenza||ERA-NET + EJP",,,,,"85113342597",,"000699711800020","Emerg Infect Dis","9","Emerging Infectious Diseases","27","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","09673","09673",,"2444","2434","Atlanta, GA","published",,,,,,,,,,,"2021-09-03T07:34:28Z","2023-02-06T22:24:05Z","true",,"SCOPUS",,,
"433463","20.500.11850/3","Grabs, Janina||Cammelli, Federico||Levy, Samuel A.||Garrett, Rachael",,,,,"2022-01-12T13:40:17Z","2022-01-12T13:40:17Z","2021-09","2021-09-08","In response to the clearing of tropical forests for agricultural expansion, agri-food companies have adopted promises to eliminate deforestation from their supply chains in the form of ‘zero-deforestation commitments’ (ZDCs). While there is growing evidence about the environmental effectiveness of these commitments (i.e., whether they meet their conservation goals), there is little information on how they influence producers’ opportunity to access sustainable markets and related livelihood outcomes, or how design and implementation choices influence tradeoffs or potential synergies between effectiveness and equity in access. This paper explores these research gaps and makes three main contributions by: i) defining and justifying the importance of analyzing access equity and its relation to effectiveness when implementing forest-focused supply chain policies such as ZDCs, ii) identifying seven policy design principles that are likely to maximize synergies between effectiveness and access equity, and iii) assessing effectiveness-access equity tensions and synergies across common ZDC implementation mechanisms amongst the five largest firms in each of the leading agricultural forest-risk commodity sectors: palm oil, soybeans, beef cattle, and cocoa. To enhance forest conservation while avoiding harm to the most vulnerable farmers in the tropics, it is necessary to combine stringent rules with widespread capacity building, greater involvement of affected actors in the co-production of implementation mechanisms, and support for alternative rural development paths.","application/pdf","10.3929/ethz-b-000507976",,"0959-3780||1872-9495","http://hdl.handle.net/20.500.11850/507976||http://hdl.handle.net/20.500.11850/523072","10.1016/j.gloenvcha.2021.102357","http://hdl.handle.net/20.500.11850/524881","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Agriculture||Conservation||Supply chain||Voluntary environmental policies||Effectiveness||Equity","Designing effective and equitable zero-deforestation supply chain policies",,"Journal Article","Open access",,,,"2021-10-02T02:42:23Z",,,,"yes",,,,"Assessing the effectiveness and equity of zero-deforestation commitment implementation in the palm oil sector","192373||192373","10.13039/501100001711||10.13039/501100001711","SNF||SNF","Projekte GSW",,,,,"85115795981",,"000704267800003","Glob. environ. change",,"Global Environmental Change","70","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,,"102357","Oxford","published",,,,,,,,,,,"2022-01-12T13:40:25Z","2023-02-06T23:48:49Z","true","14 p.","SCOPUS||FORM",,"publishedVersion",
