id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isReferencedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"105612","20.500.11850/3","Hesse, E.||Best, Alex||Boots, Mike||Hall, Alex||Buckling, Angus",,,"2017-06-11T20:14:44Z","2017-06-11T20:14:44Z","2015-09",,,,,,"1010-061X||1420-9101",,"10.1111/jeb.12689","http://hdl.handle.net/20.500.11850/105645","en","Wiley-Blackwell",,,"Antagonistic coevolution||Bacteria||Migration||Phages||Selection mosaics||Specificity","Spatial heterogeneity lowers rather than increases host-parasite specialization","Journal Article","Metadata only",,,"2017-06-11T20:15:48Z",,"pub:165417",,"yes",,,,,,,,,,"imp59365396dc98d50461",,,"84941599142",,"000362591200009","J. evol. biol.","9","Journal of Evolutionary Biology","28","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","09497","09497","Published online 22 July 2015.","1690","1682","Oxford","published",,"true","2017-07-13T14:16:26Z","2021-02-14T13:25:33Z","true",,"ECIT",,,
"95533","20.500.11850/3","Rosado, Joana||Morais, Manuela||Tockner, Klement",,,"2017-06-11T15:09:23Z","2017-06-11T15:09:23Z","2015-09",,,,,,"1535-1459||1535-1467",,"10.1002/rra.2791","http://hdl.handle.net/20.500.11850/95566","en","Wiley-Blackwell",,,"First flush event||Floating organic matter||Temporary stream||Terrestrial arthropods","Mass Dispersal of Terrestrial Organisms During First Flush Events in a Temporary Stream","Journal Article","Metadata only",,,"2017-06-11T15:09:47Z",,"pub:149911",,"yes",,,,,,,,,,"imp593652c20901c86441",,,,,,"River Res. Appl.","7","River Research and Applications","31","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 7 August 2014.","917","912","Chichester","published",,"true","2017-07-19T13:16:41Z","2022-03-28T13:30:38Z","true",,"ECIT",,,
"246838","20.500.11850/3","Di Luccia, Blanda||Crescenzo, Raffaella||Mazzoli, Arianna||Cigliano, Luisa||Venditti, Paola||Walser, Jean-Claude||Widmer, Alex||Baccigalupi, Loredana||Ricca, Ezio||Iossa, Susanna",,,"2018-08-02T14:14:21Z","2017-06-11T19:09:24Z||2018-08-02T14:14:21Z","2015-08-05",,"A fructose-rich diet can induce metabolic syndrome, a combination of health disorders that increases the risk of diabetes and cardiovascular diseases. Diet is also known to alter the microbial composition of the gut, although it is not clear whether such alteration contributes to the development of metabolic syndrome. The aim of this work was to assess the possible link between the gut microbiota and the development of diet-induced metabolic syndrome in a rat model of obesity. Rats were fed either a standard or high-fructose diet. Groups of fructose-fed rats were treated with either antibiotics or faecal samples from control rats by oral gavage. Body composition, plasma metabolic parameters and markers of tissue oxidative stress were measured in all groups. A 16S DNA-sequencing approach was used to evaluate the bacterial composition of the gut of animals under different diets. The fructose-rich diet induced markers of metabolic syndrome, inflammation and oxidative stress, that were all significantly reduced when the animals were treated with antibiotic or faecal samples. The number of members of two bacterial genera, Coprococcus and Ruminococcus, was increased by the fructose-rich diet and reduced by both antibiotic and faecal treatments, pointing to a correlation between their abundance and the development of the metabolic syndrome. Our data indicate that in rats fed a fructose-rich diet the development of metabolic syndrome is directly correlated with variations of the gut content of specific bacterial taxa.","application/pdf","10.3929/ethz-b-000103864",,"1932-6203",,"10.1371/journal.pone.0134893","http://hdl.handle.net/20.500.11850/103864","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Rescue of Fructose-Induced Metabolic Syndrome by Antibiotics or Faecal Transplantation in a Rat Model of Obesity","Journal Article","Open access",,,"2017-06-11T19:09:27Z",,"pub:162403",,"yes",,,,,,,,,,"imp593653713408e93372","006206116",,"84941975667",,"000359061400124","PLoS ONE","8","PLoS ONE","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,,"e0134893","San Francisco, USA","published",,,"2017-07-31T15:35:00Z","2021-02-15T00:56:07Z","true","19 p.","ECIT",,"publishedVersion",
"106081","20.500.11850/3","Luqman, Hirzi",,,"2017-06-11T20:27:47Z","2017-06-11T20:27:47Z","2015-08",,,,,,,,,"http://hdl.handle.net/20.500.11850/106114","en","Plant Conservation Action group (PCA)",,,,"Unravelling the population structure and demography of the Seychelles pitcher plant (Nepenthes pervillei)","Journal Article","Metadata only",,,"2017-06-11T20:28:05Z",,"pub:166069",,"yes",,,,,,,,,,"imp593653a0707ef42584",,,,,,,"18","Kapisen","2015","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,"15","13","Victoria, Seychelles","published",,,"2017-07-18T16:36:02Z","2018-11-02T20:22:45Z","true",,"ECIT",,,
"110873","20.500.11850/3","Czekalski, Nadine||Sigdel, Radhika||Birtel, Julia||Matthews, Blake||Bürgmann, Helmut",,,"2017-06-11T23:21:59Z","2017-06-11T23:21:59Z","2015-08",,,,,,"0160-4120||1873-6750",,"10.1016/j.envint.2015.04.005","http://hdl.handle.net/20.500.11850/110906","en","Elsevier",,,"Freshwater||Environment||Pollution||qPCR||Bacteria||Antimicrobial resistance","Does human activity impact the natural antibiotic resistance background? Abundance of antibiotic resistance genes in 21 Swiss lakes","Journal Article","Metadata only",,,"2017-06-11T23:22:47Z",,"pub:172201",,"yes",,,,,,,,,,"imp593653fc95f2687499","000003174",,,,,"Environ. Int.",,"Environment International","81","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 24 April 2015.","55","45","Amsterdam","published",,,"2017-07-20T15:04:02Z","2020-02-14T16:19:27Z","true",,"ECIT",,,
"106086","20.500.11850/3","Chen, Li||Li, Xiu Z.||Li, Chun J.||Swoboda, Ginger A.||Young, Carolyn A.||Sugawara, Koya||Leuchtmann, Adrian||Schardl, Christopher L.",,,"2017-06-11T20:27:49Z","2017-06-11T20:27:49Z","2015-08",,,,,,"0027-5514||1557-2536",,"10.3852/15-019","http://hdl.handle.net/20.500.11850/106119","en","Mycological Society of America",,,"Clavicipitaceae||Endophytes||Epichloë gansuensis||E. inebrians||Ergot alkaloids||Genome||Grasses||Hypocreales||Phylogenetics||Rangelands||Symbiosis||Toxicosis","Two distinct Epichloë species symbiotic with Achnatherum inebrians, drunken horse grass","Journal Article","Metadata only",,,"2017-06-11T20:28:05Z",,"pub:166078",,"yes",,,,,,,,,,"imp593653a09925f35921","000034439",,"84928960610",,,"Mycologia","4","Mycologia","107","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706","Published online 24 April 2015.","873","863","Lawrence, KS","published",,,"2017-07-15T00:12:12Z","2018-11-02T20:22:52Z","true",,"ECIT",,,
"103385","20.500.11850/3","Milla, Rubén||Osborne, Colin P.||Turcotte, Martin M.||Violle, Cyrille",,,"2017-06-11T18:52:53Z","2017-06-11T18:52:53Z","2015-08",,,,,,"0169-5347||1872-8383",,"10.1016/j.tree.2015.06.006","http://hdl.handle.net/20.500.11850/103418","en","Cell Press",,,"Domestication||Natural selection||Constraints||Ecology||Phenotype||Cultivation","Plant domestication through an ecological lens","Journal Article","Metadata only",,,"2017-06-11T18:53:26Z",,"pub:161663",,"yes",,,,,,,,,,"imp59365367216af88205","000036164",,,,"000359328700007","Trends Ecol Evol","8","Trends in Ecology & Evolution","30","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03909 - Levine, Jonathan M. (ehemalig) / Levine, Jonathan M. (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03909 - Levine, Jonathan M. (ehemalig) / Levine, Jonathan M. (former)","03909","03909","Published online by: Elsevier.","469","463","London","published",,,"2017-07-12T23:29:57Z","2021-02-14T13:12:17Z","true",,"ECIT",,,
"110915","20.500.11850/3","Zozomová-Lihová, Judita||Malánová-Krásná, Iva||Vít, Petr||Urfus, Tomáš||Senko, Dušan||Svitok, Marek||Kempa, Matúš||Marhold, Karol",,,"2017-06-11T23:22:28Z","2017-06-11T23:22:28Z","2015-08",,,,,,"1914-2016:||0002-9122",,"10.3732/ajb.1500052","http://hdl.handle.net/20.500.11850/110948","en","Botanical Society of America",,,"AFLPs||Alps||Autopolyploidy||Brassicaceae||Contact zone||Cytotype coexistence||Encironmental predictors||Microsatellites||Polyploidy","Cytotype distribution patterns, ecological differentiation, and genetic structure in a diploid–tetraploid contact zone of Cardamine amara","Journal Article","Metadata only",,,"2017-06-11T23:22:47Z",,"pub:172258",,"no",,,,,,,,,,"imp593653fd9809529227","000009096",,,,,"Am. J. Bot.","8","American Journal of Botany","102","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Received 8 February 2015, Accepted 16 July 2015, Published online 12 August 2015.","1395","1380","St. Louis, MO","published",,,"2017-07-18T10:18:30Z","2020-02-14T16:19:39Z","true",,"ECIT",,,
"256813","20.500.11850/3","Ruffner, Beat||Péchy-Tarr, Maria||Höfte, Monica||Bloemberg, Guido||Grunder, Jürg||Keel, Christoph||Maurhofer, Monika",,,"2018-10-08T17:01:09Z","2017-06-11T19:09:04Z||2018-10-08T17:01:09Z","2015-08",,"Background Root-colonizing fluorescent pseudomonads are known for their excellent abilities to protect plants against soil-borne fungal pathogens. Some of these bacteria produce an insecticidal toxin (Fit) suggesting that they may exploit insect hosts as a secondary niche. However, the ecological relevance of insect toxicity and the mechanisms driving the evolution of toxin production remain puzzling.  Results Screening a large collection of plant-associated pseudomonads for insecticidal activity and presence of the Fit toxin revealed that Fit is highly indicative of insecticidal activity and predicts that Pseudomonas protegens and P. chlororaphis are exclusive Fit producers. A comparative evolutionary analysis of Fit toxin-producing Pseudomonas including the insect-pathogenic bacteria Photorhabdus and Xenorhadus, which produce the Fit related Mcf toxin, showed that fit genes are part of a dynamic genomic region with substantial presence/absence polymorphism and local variation in GC base composition. The patchy distribution and phylogenetic incongruence of fit genes indicate that the Fit cluster evolved via horizontal transfer, followed by functional integration of vertically transmitted genes, generating a unique Pseudomonas-specific insect toxin cluster.  Conclusions Our findings suggest that multiple independent evolutionary events led to formation of at least three versions of the Mcf/Fit toxin highlighting the dynamic nature of insect toxin evolution.","application/pdf","10.3929/ethz-b-000103833",,"1471-2164",,"10.1186/s12864-015-1763-2","http://hdl.handle.net/20.500.11850/103833","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Pseudomonas||Photorhabdus and Xenorhabdus||Insecticidal activity||Toxin evolution","Evolutionary patchwork of an insecticidal toxin shared between plant-associated pseudomonads and the insect pathogens Photorhabdus and Xenorhabdus","Journal Article","Open access",,,"2017-06-11T19:09:27Z",,"pub:162371",,"yes",,,,"Insecticidal activity in root-colonizing plant-beneficial pseudomonads: Molecular mechanisms and exploitation for pest control","138248","10.13039/501100001711","SNF","Projektförderung in Biologie und Medizin (Abteilung III)",,"imp5936537079ba930165",,,,,"000359526400002","BMC Genomics",,"BMC Genomics","16","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,,"609","London","published",,"true","2017-07-26T07:09:14Z","2020-02-15T15:18:58Z","true","14 p.","ECIT",,"publishedVersion",
"110898","20.500.11850/3","Plebani, Marco||Fussmann, Katarina E.||Hansen, Dennis M.||O'Gorman, Eoin J.||Stewart, Rebecca I.A.||Woodward, Guy||Petchey, Owen L.",,,"2017-06-11T23:22:17Z","2017-06-11T23:22:17Z","2015-08",,,,,,"0046-5070||1365-2427",,"10.1111/fwb.12588","http://hdl.handle.net/20.500.11850/110931","en","Wiley-Blackwell",,,"Biomass||Ciliates||Diversity||Natural experiment||Temperature gradient","Substratum-dependent responses of ciliate assemblages to temperature: a natural experiment in Icelandic streams","Journal Article","Metadata only",,,"2017-06-11T23:22:47Z",,"pub:172233",,"no",,,,,,,,,,"imp593653fd3193156682",,,,,,"Freshw. biol.","8","Freshwater Biology","60","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 21 April 2015.","1570","1561","Oxford","published",,"true","2017-07-19T07:58:30Z","2021-02-14T13:52:22Z","true",,"ECIT",,,
"107401","20.500.11850/3","Baumgartner, Simone D.||Robinson, Christopher T.",,,"2017-06-11T21:26:39Z","2017-06-11T21:26:39Z","2015-08",,,,,,"0046-5070||1365-2427",,"10.1111/fwb.12594","http://hdl.handle.net/20.500.11850/107434","en","Wiley-Blackwell",,,"Habitat heterogeneity||Nutrient amendment||Stream mesocosm||Stressor sensitivity||Substratum","Land-use legacy and the differential response of stream macroinvertebrates to multiple stressors studied using in situ experimental mesocosms","Journal Article","Metadata only",,,"2017-06-11T21:27:42Z",,"pub:168030",,"yes",,,,,,,,,,"imp593653bad7c7a30339",,,"84948069216",,,"Freshw. biol.","8","Freshwater Biology","60","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 11 May 2015.","1634","1622","Oxford","published",,"true","2017-07-13T06:01:21Z","2022-03-28T14:19:45Z","true",,"ECIT",,,
"103817","20.500.11850/3","Möst, Markus||Oexle, Sarah||Markova, Silvia||Aidukaite, Dalia||Baumgartner, Livia||Stich, Hans-Bernd||Wessels, Martin||Martin-Creuzburg, Dominik||Spaak, Piet",,,"2017-06-11T19:09:15Z","2017-06-11T19:09:15Z","2015-08",,,,,,"0962-1083||1365-294X",,"10.1111/mec.13298","http://hdl.handle.net/20.500.11850/103850","en","Wiley-Blackwell",,,"Ancient DNA||Asexual||Daphnia||Egg bank||Genetic variation||Invasion","Population genetic dynamics of an invasion reconstructed from the sediment egg bank","Journal Article","Metadata only",,,"2017-06-11T19:09:27Z",,"pub:162389",,"yes",,,,,,,,,,"imp59365370dab1a12884",,,,,"000359355900004","Mol Ecol","16","Molecular Ecology","24","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Received 4 December 2013, Revision received 23 June 2015, Accepted 25 June 2015, Article first published online 27 July 2015.","4093","4074","Oxford","published",,"true","2017-07-19T09:47:27Z","2018-11-02T19:50:29Z","true",,"ECIT",,,
"103818","20.500.11850/4","Shu, Longfei||Suter, Marc J.-F.||Raesaenen, Katja",,,"2017-06-11T19:09:15Z","2017-06-11T19:09:15Z","2015-08",,,,,,"0962-1083||1365-294X",,"10.1111/mec.13283","http://hdl.handle.net/20.500.11850/103851","en","Wiley-Blackwell",,,"Diversification||Egg coats||Glycomics||Natural selection||Proteomics","Evolution of egg coats: linking molecular biology and ecology","Review Article","Metadata only",,,"2017-06-11T19:09:27Z",,"pub:162390",,"yes",,,,,,,,,,"imp59365370e04a911872",,,,,"000359355900003","Mol Ecol","16","Molecular Ecology","24","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Received 27 June 2014, Revision received 12 June 2015, Accepted 17 June 2015, Article first published online 3 August 2015.","4073","4052","Oxford","published",,"true","2017-07-26T04:46:16Z","2022-03-28T14:04:07Z","true",,"ECIT",,,
"96232","20.500.11850/3","Mikaberidze, Alexey||McDonald, B.A.||Bonhoeffer, S.",,,"2017-06-11T15:25:47Z","2017-06-11T15:25:47Z","2015-08",,,,,,"0032-0862||1365-3059",,"10.1111/ppa.12321","http://hdl.handle.net/20.500.11850/96265","en","Wiley-Blackwell",,,"Cultivar mixture||Host diversity||Host–pathogen interaction||Mathematical model||Multiline cultivar||Population dynamics","Developing smarter host mixtures to control plant disease","Journal Article","Metadata only",,,"2017-06-11T15:26:05Z",,"pub:150868",,"yes",,,,,,,,,,"imp593652ce2378c39766",,,"84935688293",,"000357474000028","Plant pathol.","4","Plant Pathology","64","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03584||03516","03584||03516","Published online 10 December 2014.","1004","996","Oxford","published",,"true","2017-07-15T00:15:02Z","2018-11-02T17:49:46Z","true",,"ECIT",,,
"90704","20.500.11850/3","Estep, Laura K.||Torriani, Stefano F.F.||Zala, Marcello||Anderson, N.P.||Flowers, M.D.||McDonald, Bruce A.||Mundt, Chris C.||Brunner, Patrick C.",,,"2017-06-11T13:02:57Z","2017-06-11T13:02:57Z","2015-08",,,,,,"0032-0862||1365-3059",,"10.1111/ppa.12314","http://hdl.handle.net/20.500.11850/90737","en","Wiley-Blackwell",,,"Azole||CYP51||Intragenic recombination||Mycosphaerella graminicola||Septoria tritici blotch||Strobilurin","Emergence and early evolution of fungicide resistance in North American populations of Zymoseptoria tritici","Journal Article","Metadata only",,,"2017-06-11T13:03:32Z",,"pub:142770",,"yes",,,,,,,,,,"imp59365267a392b51615",,,,,"000357474000024","Plant pathol.","4","Plant Pathology","64","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516","Published online 13 October 2014.","971","961","Oxford","published",,"true","2017-07-19T11:53:45Z","2018-11-02T16:19:08Z","true",,"ECIT",,,
